Frequency Magnitude
10005000 -45.2180480957031
12526146.3620981 -43.7773590087891
15047292.7241963 -42.336669921875
17568439.0862944 -40.8959808349609
20089585.4483926 -39.4552917480469
22610731.8104907 -38.0146026611328
25131878.1725888 -36.6421241760254
27653024.534687 -35.9593276977539
30174170.8967851 -35.2765312194824
32695317.2588832 -34.5937385559082
35216463.6209814 -33.9109420776367
37737609.9830795 -33.2281455993652
40258756.3451777 -32.5757064819336
42779902.7072758 -32.0615577697754
45301049.0693739 -31.5474071502686
47822195.4314721 -31.0332565307617
50343341.7935702 -30.5191078186035
52864488.1556684 -30.0049571990967
55385634.5177665 -29.5138416290283
57906780.8798646 -29.0850028991699
60427927.2419628 -28.6561660766602
62949073.6040609 -28.2273273468018
65470219.9661591 -27.798490524292
67991366.3282572 -27.3696517944336
70512512.6903553 -26.9568977355957
73033659.0524535 -26.5727386474609
75554805.4145516 -26.1885776519775
78075951.7766497 -25.8044166564941
80597098.1387479 -25.4202575683594
83118244.500846 -25.036096572876
85639390.8629442 -24.7065048217773
88160537.2250423 -24.4436073303223
90681683.5871404 -24.1807117462158
93202829.9492386 -23.9178142547607
95723976.3113367 -23.6549186706543
98245122.6734349 -23.3920211791992
100766269.035533 -23.1456756591797
103287415.397631 -22.9134273529053
105808561.759729 -22.6811790466309
108329708.121827 -22.4489326477051
110850854.483926 -22.2166843414307
113372000.846024 -21.9844360351563
115893147.208122 -21.8023452758789
118414293.57022 -21.6497135162354
120935439.932318 -21.4970817565918
123456586.294416 -21.3444499969482
125977732.656514 -21.1918182373047
128498879.018613 -21.0391845703125
131020025.380711 -20.8701972961426
133541171.742809 -20.6948471069336
136062318.104907 -20.5194988250732
138583464.467005 -20.3441486358643
141104610.829103 -20.1688003540039
143625757.191201 -19.9934501647949
146146903.553299 -19.8089790344238
148668049.915398 -19.6223678588867
151189196.277496 -19.4357566833496
153710342.639594 -19.2491455078125
156231489.001692 -19.0625343322754
158752635.36379 -18.8759231567383
161273781.725888 -18.6119079589844
163794928.087986 -18.3392925262451
166316074.450085 -18.0666770935059
168837220.812183 -17.794059753418
171358367.174281 -17.5214443206787
173879513.536379 -17.2488288879395
176400659.898477 -16.8950672149658
178921806.260575 -16.5404853820801
181442952.622673 -16.1859035491943
183964098.984772 -15.8313226699829
186485245.34687 -15.4767408370972
189006391.708968 -15.1231603622437
191527538.071066 -14.7810907363892
194048684.433164 -14.4390211105347
196569830.795262 -14.0969514846802
199090977.15736 -13.7548818588257
201612123.519459 -13.4128122329712
204133269.881557 -13.0819282531738
206654416.243655 -12.8056573867798
209175562.605753 -12.5293865203857
211696708.967851 -12.2531147003174
214217855.329949 -11.9768438339233
216739001.692047 -11.7005729675293
219260148.054146 -11.4417457580566
221781294.416244 -11.2325687408447
224302440.778342 -11.0233907699585
226823587.14044 -10.8142137527466
229344733.502538 -10.6050357818604
231865879.864636 -10.3958587646484
234387026.226734 -10.2014570236206
236908172.588832 -10.034496307373
239429318.950931 -9.86753559112549
241950465.313029 -9.70057487487793
244471611.675127 -9.53361415863037
246992758.037225 -9.36665344238281
249513904.399323 -9.20059871673584
252035050.761421 -9.03569793701172
254556197.123519 -8.87079620361328
257077343.485618 -8.70589542388916
259598489.847716 -8.54099464416504
262119636.209814 -8.3760929107666
264640782.571912 -8.17063903808594
267161928.93401 -7.92922306060791
269683075.296108 -7.68780708312988
272204221.658206 -7.4463906288147
274725368.020305 -7.20497465133667
277246514.382403 -6.96355867385864
279767660.744501 -6.7319450378418
282288807.106599 -6.50634002685547
284809953.468697 -6.28073501586914
287331099.830795 -6.05513000488281
289852246.192893 -5.82952499389648
292373392.554992 -5.603919506073
294894538.91709 -5.56001329421997
297415685.279188 -5.59032201766968
299936831.641286 -5.62063074111938
302457978.003384 -5.65093946456909
304979124.365482 -5.6812481880188
307500270.72758 -5.71155738830566
310021417.089679 -5.83053255081177
312542563.451777 -5.97167444229126
315063709.813875 -6.11281633377075
317584856.175973 -6.25395822525024
320106002.538071 -6.39509963989258
322627148.900169 -6.53624153137207
325148295.262267 -6.66709280014038
327669441.624366 -6.79667234420776
330190587.986464 -6.92625141143799
332711734.348562 -7.05583095550537
335232880.71066 -7.18541049957275
337754027.072758 -7.31498956680298
340275173.434856 -7.37020921707153
342796319.796954 -7.42391109466553
345317466.159052 -7.47761344909668
347838612.521151 -7.53131532669067
350359758.883249 -7.58501720428467
352880905.245347 -7.63968658447266
355402051.607445 -7.70720481872559
357923197.969543 -7.77472352981567
360444344.331641 -7.84224224090576
362965490.693739 -7.90976047515869
365486637.055838 -7.97727918624878
368007783.417936 -8.05674171447754
370528929.780034 -8.19890785217285
373050076.142132 -8.34107398986816
375571222.50423 -8.48324108123779
378092368.866328 -8.62540721893311
380613515.228426 -8.76757431030273
383134661.590525 -8.93289375305176
385655807.952623 -9.16767120361328
388176954.314721 -9.4024486541748
390698100.676819 -9.63722705841064
393219247.038917 -9.87200450897217
395740393.401015 -10.106782913208
398261539.763113 -10.3428812026978
400782686.125212 -10.5815448760986
403303832.48731 -10.8202085494995
405824978.849408 -11.0588722229004
408346125.211506 -11.2975358963013
410867271.573604 -11.5361995697021
413388417.935702 -11.7683801651001
415909564.2978 -11.9919681549072
418430710.659898 -12.2155570983887
420951857.021997 -12.4391450881958
423473003.384095 -12.6627330780029
425994149.746193 -12.8863210678101
428515296.108291 -13.0737791061401
431036442.470389 -13.2278861999512
433557588.832487 -13.3819942474365
436078735.194585 -13.5361013412476
438599881.556684 -13.6902084350586
441121027.918782 -13.8443155288696
443642174.28088 -13.9678201675415
446163320.642978 -14.0717601776123
448684467.005076 -14.1757001876831
451205613.367174 -14.2796401977539
453726759.729272 -14.3835802078247
456247906.091371 -14.4875192642212
458769052.453469 -14.5571575164795
461290198.815567 -14.6120939254761
463811345.177665 -14.667031288147
466332491.539763 -14.7219686508179
468853637.901861 -14.7769050598145
471374784.263959 -14.8318424224854
473895930.626058 -14.8749370574951
476417076.988156 -14.9148845672607
478938223.350254 -14.9548311233521
481459369.712352 -14.9947786331177
483980516.07445 -15.034725189209
486501662.436548 -15.0746726989746
489022808.798646 -15.1362276077271
491543955.160744 -15.2007303237915
494065101.522843 -15.2652320861816
496586247.884941 -15.3297348022461
499107394.247039 -15.3942365646362
501628540.609137 -15.4587392807007
504149686.971235 -15.5290002822876
506670833.333333 -15.599440574646
509191979.695431 -15.6698799133301
511713126.05753 -15.7403192520142
514234272.419628 -15.8107585906982
516755418.781726 -15.8834114074707
519276565.143824 -15.9907283782959
521797711.505922 -16.0980453491211
524318857.86802 -16.2053623199463
526840004.230118 -16.3126792907715
529361150.592217 -16.4199962615967
531882296.954315 -16.5292797088623
534403443.316413 -16.6497077941895
536924589.678511 -16.7701377868652
539445736.040609 -16.8905658721924
541966882.402707 -17.0109958648682
544488028.764805 -17.1314239501953
547009175.126904 -17.2518272399902
549530321.489002 -17.3721446990967
552051467.8511 -17.4924640655518
554572614.213198 -17.6127834320068
557093760.575296 -17.7331027984619
559614906.937394 -17.8534202575684
562136053.299492 -17.9682235717773
564657199.661591 -18.0718269348145
567178346.023689 -18.1754302978516
569699492.385787 -18.2790336608887
572220638.747885 -18.3826370239258
574741785.109983 -18.4862403869629
577262931.472081 -18.5824909210205
579784077.834179 -18.6685905456543
582305224.196278 -18.7546901702881
584826370.558376 -18.8407878875732
587347516.920474 -18.926887512207
589868663.282572 -19.0129871368408
592389809.64467 -19.0830631256104
594910956.006768 -19.1377429962158
597432102.368866 -19.1924228668213
599953248.730964 -19.2471027374268
602474395.093063 -19.3017826080322
604995541.455161 -19.3564624786377
607516687.817259 -19.382474899292
610037834.179357 -19.3893775939941
612558980.541455 -19.3962783813477
615080126.903553 -19.4031791687012
617601273.265651 -19.4100818634033
620122419.62775 -19.4169826507568
622643565.989848 -19.4190044403076
625164712.351946 -19.4188327789307
627685858.714044 -19.4186611175537
630207005.076142 -19.4184894561768
632728151.43824 -19.4183177947998
635249297.800338 -19.4181461334229
637770444.162437 -19.4447441101074
640291590.524535 -19.4788951873779
642812736.886633 -19.5130443572998
645333883.248731 -19.5471935272217
647855029.610829 -19.5813426971436
650376175.972927 -19.6154918670654
652897322.335025 -19.6824054718018
