Frequency Magnitude
1710000000 -8.20158767700195
1710837563.45178 -8.22970962524414
1711675126.90355 -8.25783252716064
1712512690.35533 -8.28595447540283
1713350253.80711 -8.31407642364502
1714187817.25888 -8.34219932556152
1715025380.71066 -8.3732385635376
1715862944.16244 -8.43377494812012
1716700507.61421 -8.49431133270264
1717538071.06599 -8.55484676361084
1718375634.51777 -8.61538314819336
1719213197.96954 -8.67591953277588
1720050761.42132 -8.72819519042969
1720888324.8731 -8.74284172058105
1721725888.32487 -8.75748920440674
1722563451.77665 -8.77213573455811
1723401015.22843 -8.78678226470947
1724238578.6802 -8.80142879486084
1725076142.13198 -8.81507778167725
1725913705.58376 -8.82602977752686
1726751269.03553 -8.83698177337646
1727588832.48731 -8.84793472290039
1728426395.93909 -8.85888671875
1729263959.39086 -8.86983871459961
1730101522.84264 -8.88075065612793
1730939086.29442 -8.8915901184082
1731776649.74619 -8.90243053436279
1732614213.19797 -8.91326999664307
1733451776.64975 -8.92411041259766
1734289340.10152 -8.93494987487793
1735126903.5533 -8.94730281829834
1735964467.00508 -8.96150493621826
1736802030.45685 -8.97570705413818
1737639593.90863 -8.98990821838379
1738477157.36041 -9.00411033630371
1739314720.81218 -9.01831245422363
1740152284.26396 -9.03506374359131
1740989847.71574 -9.05398750305176
1741827411.16751 -9.07291030883789
1742664974.61929 -9.09183406829834
1743502538.07107 -9.11075782775879
1744340101.52284 -9.12968063354492
1745177664.97462 -9.15760803222656
1746015228.4264 -9.19082355499268
1746852791.87817 -9.22404003143311
1747690355.32995 -9.25725555419922
1748527918.78173 -9.29047107696533
1749365482.2335 -9.32368659973145
1750203045.68528 -9.36879825592041
1751040609.13706 -9.41853618621826
1751878172.58883 -9.46827411651611
1752715736.04061 -9.51801204681396
1753553299.49239 -9.56774997711182
1754390862.94416 -9.61748790740967
1755228426.39594 -9.68424510955811
1756065989.84772 -9.75499534606934
1756903553.29949 -9.82574462890625
1757741116.75127 -9.89649391174316
1758578680.20305 -9.96724414825439
1759416243.65482 -10.0379934310913
1760253807.1066 -10.1313810348511
1761091370.55838 -10.2272844314575
1761928934.01015 -10.3231868743896
1762766497.46193 -10.4190902709961
1763604060.91371 -10.5149927139282
1764441624.36548 -10.6108951568604
1765279187.81726 -10.744948387146
1766116751.26904 -10.8793869018555
1766954314.72081 -11.0138254165649
1767791878.17259 -11.1482639312744
1768629441.62437 -11.2827024459839
1769467005.07614 -11.418345451355
1770304568.52792 -11.5678510665894
1771142131.9797 -11.7173566818237
1771979695.43147 -11.8668622970581
1772817258.88325 -12.0163679122925
1773654822.33503 -12.1658735275269
1774492385.7868 -12.3208694458008
1775329949.23858 -12.5026721954346
1776167512.69036 -12.684473991394
1777005076.14213 -12.8662767410278
1777842639.59391 -13.0480794906616
1778680203.04569 -13.2298822402954
