Wave;Sample;Dark;Reference
317.765;289.900;31.759;0.000
317.784;127.000;20.966;0.000
317.804;-36.000;-10.862;0.000
317.823;138.100;18.103;0.000
317.842;151.200;2.828;0.000
317.861;-36.700;-6.207;0.000
317.881;9.750;-3.241;0.000
317.900;-48.200;-12.931;0.000
317.919;32.050;8.310;0.000
317.939;192.900;26.655;0.000
317.958;-26.850;-1.828;0.000
317.977;126.650;11.069;0.000
317.997;6.650;11.276;0.000
318.016;94.450;7.862;0.000
318.035;-102.900;0.655;0.000
318.054;-7.850;-16.138;0.000
318.074;223.600;23.862;0.000
318.093;110.900;16.552;0.000
318.112;228.200;19.069;0.000
318.132;14.200;8.448;0.000
318.151;104.150;1.759;0.000
318.170;-107.350;-6.276;0.000
318.189;55.350;6.966;0.000
318.209;23.500;-3.000;0.000
318.228;8.400;9.517;0.000
318.247;-99.950;-13.724;0.000
318.266;188.900;21.310;0.000
318.286;85.050;16.517;0.000
318.305;-60.150;0.586;0.000
318.324;-132.550;4.655;0.000
318.343;38.750;9.966;0.000
318.363;-37.100;-6.793;0.000
318.382;-29.650;2.207;0.000
318.401;98.250;7.517;0.000
318.420;-16.550;11.517;0.000
318.440;49.250;0.379;0.000
318.459;113.750;8.138;0.000
318.478;-105.550;-4.034;0.000
318.497;-18.050;-3.724;0.000
318.516;454.350;60.931;0.000
318.536;295.650;37.207;0.000
318.555;0.950;-13.552;0.000
318.574;18.650;12.724;0.000
318.593;205.400;18.862;0.000
318.613;177.450;25.897;0.000
318.632;43.800;-3.517;0.000
318.651;115.450;17.103;0.000
318.670;-50.250;-9.724;0.000
318.689;162.300;22.724;0.000
318.709;-79.600;1.966;0.000
318.728;81.600;7.966;0.000
318.747;105.300;11.621;0.000
318.766;265.000;33.103;0.000
318.785;104.400;5.241;0.000
318.805;38.400;-0.310;0.000
318.824;46.650;-0.172;0.000
318.843;196.550;35.690;0.000
318.862;164.450;12.448;0.000
318.881;-12.500;2.759;0.000
318.900;117.850;7.276;0.000
318.920;-25.900;-4.034;0.000
318.939;111.150;3.759;0.000
318.958;73.800;19.655;0.000
318.977;105.150;6.448;0.000
318.996;139.700;14.276;0.000
319.016;-16.500;7.103;0.000
319.035;112.100;12.966;0.000
319.054;-65.700;0.724;0.000
319.073;-10.150;-5.828;0.000
319.092;61.850;2.586;0.000
319.111;-30.800;4.655;0.000
319.130;101.700;9.552;0.000
319.150;-37.050;2.379;0.000
319.169;76.550;7.379;0.000
319.188;-25.500;1.414;0.000
319.207;239.650;25.069;0.000
319.226;196.400;26.759;0.000
319.245;193.600;19.897;0.000
319.264;-1.250;4.379;0.000
319.284;-33.200;3.724;0.000
319.303;14.450;-6.103;0.000
319.322;139.250;26.414;0.000
319.341;186.250;14.276;0.000
319.360;140.200;-9.207;0.000
319.379;61.350;13.138;0.000
319.398;144.900;16.483;0.000
319.417;-113.550;-10.103;0.000
319.437;-16.950;5.724;0.000
319.456;186.250;13.690;0.000
319.475;143.350;15.897;0.000
319.494;-6.750;10.034;0.000
319.513;48.500;-1.138;0.000
319.532;-52.000;0.966;0.000
319.551;113.400;13.931;0.000
319.570;48.600;5.172;0.000
319.589;-43.400;-8.862;0.000
319.608;311.900;18.276;0.000
319.627;-6.550;-11.172;0.000
319.647;174.650;13.103;0.000
319.666;9.950;-5.103;0.000
319.685;55.700;15.310;0.000
319.704;45.050;-3.517;0.000
319.723;53.250;16.759;0.000
319.742;9.550;-6.517;0.000
319.761;31.750;3.724;0.000
319.780;188.300;0.207;0.000
319.799;64.000;13.276;0.000
319.818;252.300;12.552;0.000
319.837;134.450;8.690;0.000
319.856;185.650;0.241;0.000
319.875;4.050;5.345;0.000
319.894;344.950;29.793;0.000
319.914;-52.700;-9.621;0.000
319.933;199.200;22.069;0.000
319.952;-112.050;-6.172;0.000
319.971;89.500;17.138;0.000
319.990;168.800;18.034;0.000
320.009;90.450;9.000;0.000
320.028;123.900;16.345;0.000
320.047;88.300;-2.000;0.000
320.066;330.150;20.448;0.000
320.085;276.400;28.414;0.000
320.104;99.250;15.172;0.000
320.123;34.550;-0.897;0.000
320.142;177.500;19.655;0.000
320.161;20.200;16.931;0.000
320.180;104.100;25.793;0.000
320.199;-0.800;-0.897;0.000
320.218;45.550;3.862;0.000
320.237;296.000;28.828;0.000
320.256;172.250;8.621;0.000
320.275;51.800;5.379;0.000
320.294;1.650;5.000;0.000
320.313;129.850;11.655;0.000
320.332;205.350;21.862;0.000
320.351;86.700;11.414;0.000
320.370;265.100;26.310;0.000
320.389;178.450;13.379;0.000
320.408;-54.100;3.966;0.000
320.427;290.950;37.379;0.000
320.446;101.600;12.172;0.000
