Wavelength (nm);Intensity Source
341.676;3.931
342.058;3.979
342.440;3.979
342.822;4.004
343.204;4.028
343.586;4.053
343.968;4.004
344.350;3.955
344.732;3.979
345.114;4.004
345.495;4.028
345.877;3.979
346.259;3.979
346.640;4.028
347.022;3.979
347.403;3.931
347.785;3.906
348.166;3.882
348.548;3.906
348.929;4.004
349.311;4.004
349.692;3.931
350.073;3.906
350.454;3.882
350.836;3.882
351.217;3.931
351.598;3.931
351.979;3.906
352.360;3.906
352.741;3.906
353.122;4.004
353.503;4.053
353.884;4.053
354.265;4.053
354.645;4.004
355.026;3.931
355.407;3.955
355.787;3.979
356.168;3.979
356.549;3.979
356.929;3.979
357.310;4.028
357.690;4.126
358.071;4.126
358.451;4.028
358.831;4.004
359.212;4.004
359.592;4.028
359.972;3.979
360.352;3.955
360.732;3.979
361.113;4.053
361.493;4.077
361.873;4.028
362.253;4.028
362.632;4.102
363.012;4.126
363.392;4.102
363.772;4.126
364.152;4.126
364.532;4.126
364.911;4.150
365.291;4.077
365.670;4.004
366.050;4.028
366.430;4.053
366.809;4.053
367.188;4.053
367.568;4.102
367.947;4.150
368.327;4.102
368.706;4.102
369.085;4.126
369.464;4.175
369.843;4.126
370.223;4.175
370.602;4.199
370.981;4.199
371.360;4.224
371.739;4.321
372.118;4.443
372.496;4.419
372.875;4.395
373.254;4.370
373.633;4.346
374.011;4.346
374.390;4.370
374.769;4.443
375.147;4.492
375.526;4.492
375.904;4.541
376.283;4.663
376.661;4.614
377.040;4.517
377.418;4.565
377.796;4.590
378.175;4.541
378.553;4.565
378.931;4.614
379.309;4.590
379.687;4.468
380.065;4.395
380.443;4.395
380.821;4.419
381.199;4.346
381.577;4.297
381.955;4.370
382.333;4.419
382.710;4.395
383.088;4.346
383.466;4.419
383.843;4.468
384.221;4.346
384.599;4.321
384.976;4.346
385.353;4.272
385.731;4.272
386.108;4.297
386.486;4.321
386.863;4.272
387.240;4.248
387.617;4.248
387.995;4.272
388.372;4.272
388.749;4.248
389.126;4.199
389.503;4.102
389.880;4.150
390.257;4.248
390.634;4.224
391.011;4.150
391.387;4.150
391.764;4.297
392.141;4.346
392.518;4.248
392.894;4.224
393.271;4.272
393.647;4.297
394.024;4.346
394.400;4.297
394.777;4.199
395.153;4.102
395.530;4.150
395.906;4.150
396.282;4.126
396.658;4.126
397.034;4.150
397.411;4.199
397.787;4.199
398.163;4.175
398.539;4.175
398.915;4.150
399.291;4.150
399.667;4.175
400.042;4.126
400.418;4.102
400.794;4.150
401.170;4.175
401.545;4.150
401.921;4.224
402.297;4.248
402.672;4.297
403.048;4.321
403.423;4.272
403.799;4.248
404.174;4.224
404.549;4.199
404.925;4.199
405.300;4.199
405.675;4.199
406.050;4.175
406.426;4.199
406.801;4.199
407.176;4.175
407.551;4.224
407.926;4.224
408.301;4.150
408.676;4.126
409.050;4.150
409.425;4.224
409.800;4.224
410.175;4.199
410.549;4.150
410.924;4.126
411.299;4.175
411.673;4.126
412.048;4.077
412.422;4.126
