Wave;Sample;Dark;Reference
291.522;3.645;-0.331;0.000
291.691;-3.648;-16.187;0.000
291.860;6.683;1.223;0.000
292.028;4.241;4.851;0.000
292.197;-5.721;3.982;0.000
292.366;-15.004;-5.589;0.000
292.534;6.821;10.936;0.000
292.703;-5.880;-15.236;0.000
292.871;0.119;11.046;0.000
293.040;-7.126;-6.232;0.000
293.209;6.086;10.006;0.000
293.377;6.909;-8.288;0.000
293.546;3.084;4.820;0.000
293.715;-5.475;-8.380;0.000
293.883;3.260;4.973;0.000
294.052;-10.059;-3.559;0.000
294.220;7.189;8.903;0.000
294.389;-0.668;-5.748;0.000
294.557;-1.795;2.333;0.000
294.726;-3.232;0.367;0.000
294.895;10.152;-1.029;0.000
295.063;-2.881;-5.507;0.000
295.232;1.135;-0.154;0.000
295.400;1.978;-6.379;0.000
295.569;2.221;1.863;0.000
295.737;0.468;-8.154;0.000
295.906;-3.357;-1.285;0.000
296.074;-17.286;-7.510;0.000
296.243;8.839;6.339;0.000
296.411;-3.304;-9.364;0.000
296.580;6.292;2.185;0.000
296.748;-8.742;-4.907;0.000
296.917;5.171;-3.289;0.000
297.085;-3.232;-2.223;0.000
297.254;5.940;6.426;0.000
297.422;-10.672;1.284;0.000
297.591;1.734;5.762;0.000
297.759;-6.042;0.890;0.000
297.928;5.275;3.229;0.000
298.096;-12.442;-9.461;0.000
298.265;21.152;12.807;0.000
298.433;-7.109;-8.985;0.000
298.601;-0.425;3.507;0.000
298.770;-7.182;-1.594;0.000
298.938;8.240;0.061;0.000
299.107;-4.760;2.615;0.000
299.275;-6.427;-2.915;0.000
299.443;-13.355;-4.010;0.000
299.612;-0.724;2.597;0.000
299.780;-4.372;2.938;0.000
299.949;3.188;-3.490;0.000
300.117;-4.075;-6.671;0.000
300.285;3.696;1.241;0.000
300.454;-1.707;-16.311;0.000
300.622;0.979;7.998;0.000
300.790;-3.234;0.895;0.000
300.959;3.890;5.539;0.000
301.127;-3.793;-7.928;0.000
301.296;16.240;-1.162;0.000
301.464;7.820;0.746;0.000
301.632;-7.691;11.364;0.000
301.800;-3.985;-12.223;0.000
301.969;-3.287;1.495;0.000
302.137;-5.566;-7.028;0.000
302.305;5.468;-5.224;0.000
302.474;-8.533;-3.536;0.000
302.642;2.311;0.522;0.000
302.810;-6.178;-0.215;0.000
302.979;2.487;-2.377;0.000
303.147;0.380;6.010;0.000
303.315;9.135;4.793;0.000
303.483;-4.109;-11.289;0.000
303.652;-5.830;13.555;0.000
303.820;-12.041;-3.510;0.000
303.988;-0.444;5.613;0.000
304.156;2.205;-7.338;0.000
304.325;-0.267;3.548;0.000
304.493;-2.391;-5.162;0.000
304.661;-5.126;-5.824;0.000
304.829;-8.337;-4.240;0.000
304.998;9.520;4.003;0.000
305.166;-6.548;4.573;0.000
305.334;5.312;4.668;0.000
305.502;-5.058;-1.128;0.000
305.670;7.258;8.299;0.000
305.839;-12.252;-1.828;0.000
306.007;9.362;2.307;0.000
306.175;-9.618;5.432;0.000
306.343;5.926;-0.076;0.000
306.511;-8.407;-0.046;0.000
306.679;-0.548;7.423;0.000
306.848;-10.863;-6.645;0.000
307.016;1.222;-0.076;0.000
307.184;-2.197;8.454;0.000
307.352;6.891;1.717;0.000
307.520;-19.932;2.686;0.000
307.688;6.592;-0.872;0.000
307.856;-10.022;-4.673;0.000
308.024;9.574;4.612;0.000
308.193;-4.180;-3.085;0.000
308.361;10.151;16.526;0.000
308.529;-1.706;-9.803;0.000
308.697;13.853;4.242;0.000
308.865;-3.268;1.634;0.000
309.033;5.172;7.893;0.000
309.201;-6.917;-2.349;0.000
309.369;8.872;-0.471;0.000
309.537;-3.233;-9.481;0.000
309.705;-6.023;3.886;0.000
309.873;-4.828;-12.571;0.000
310.041;2.713;-4.039;0.000
310.209;-10.672;-0.077;0.000
310.377;3.958;3.793;0.000
310.545;-9.832;-8.761;0.000
310.713;15.081;-0.315;0.000
310.881;8.399;-4.894;0.000
311.049;-1.039;5.382;0.000
311.217;1.100;-16.770;0.000
311.385;4.767;-5.617;0.000
311.553;2.963;6.147;0.000
311.721;11.346;9.673;0.000
311.889;-3.180;-3.889;0.000
312.057;5.943;1.097;0.000
312.225;-1.232;1.528;0.000
312.393;6.889;3.506;0.000
312.561;9.397;0.772;0.000
312.729;6.149;1.588;0.000
312.897;7.693;-0.953;0.000
313.065;7.099;9.618;0.000
313.233;-9.762;-4.554;0.000
313.401;2.691;1.904;0.000
313.569;-5.547;-0.975;0.000
313.737;-5.060;-7.466;0.000
313.905;-3.199;4.128;0.000
314.072;9.292;4.905;0.000
314.240;-6.323;-7.622;0.000
314.408;5.835;-2.331;0.000
314.576;-1.411;8.733;0.000
314.744;5.606;4.914;0.000
314.912;0.871;0.883;0.000
315.080;6.662;2.163;0.000
315.248;-10.022;-2.728;0.000
315.415;10.784;4.167;0.000
315.583;6.414;-10.132;0.000
315.751;-2.128;3.654;0.000
315.919;7.785;-1.716;0.000
316.087;-1.530;9.622;0.000
316.255;-6.954;0.597;0.000
316.422;-6.919;-6.771;0.000
316.590;-8.162;-13.550;0.000
316.758;3.435;-5.530;0.000
316.926;-0.497;-2.734;0.000
317.094;-0.322;-4.975;0.000
317.261;-5.549;-10.073;0.000
317.429;6.678;6.636;0.000
317.597;2.361;-0.623;0.000
317.765;3.242;-7.747;0.000
317.933;-1.112;-17.556;0.000
318.100;0.027;-0.687;0.000
318.268;-11.460;-6.337;0.000
318.436;4.118;5.469;0.000
318.604;-8.705;5.629;0.000
318.771;1.660;1.207;0.000
318.939;-11.092;2.834;0.000
319.107;12.555;9.445;0.000
319.275;-1.638;-4.531;0.000
319.442;-5.109;-3.297;0.000
319.610;-7.443;6.979;0.000
319.778;7.783;-3.174;0.000
319.945;-7.128;-7.442;0.000
320.113;10.536;12.706;0.000
320.281;-5.285;-9.977;0.000
320.448;8.116;-4.445;0.000
