Wavelength (nm);Intensity Source
341.676;3.955
342.058;4.004
342.440;4.077
342.822;4.175
343.204;4.150
343.586;4.175
343.968;4.175
344.350;4.150
344.732;4.077
345.114;4.077
345.495;4.028
345.877;4.004
346.259;4.077
346.640;4.150
347.022;4.126
347.403;4.150
347.785;4.175
348.166;4.126
348.548;4.053
348.929;4.053
349.311;3.979
349.692;3.882
350.073;3.906
350.454;3.906
350.836;3.906
351.217;3.931
351.598;4.028
351.979;4.077
352.360;4.102
352.741;4.102
353.122;4.150
353.503;4.175
353.884;4.126
354.265;4.004
354.645;3.931
355.026;4.004
355.407;4.053
355.787;4.053
356.168;4.102
356.549;4.077
356.929;4.004
357.310;4.028
357.690;4.102
358.071;4.053
358.451;3.979
358.831;3.979
359.212;3.979
359.592;3.955
359.972;4.028
360.352;4.077
360.732;4.126
361.113;4.126
361.493;4.053
361.873;3.979
362.253;4.053
362.632;4.126
363.012;4.175
363.392;4.224
363.772;4.370
364.152;4.419
364.532;4.297
364.911;4.199
365.291;4.126
365.670;4.053
366.050;4.004
366.430;4.028
366.809;4.053
367.188;4.053
367.568;4.150
367.947;4.224
368.327;4.272
368.706;4.272
369.085;4.346
369.464;4.297
369.843;4.224
370.223;4.248
370.602;4.346
370.981;4.395
371.360;4.468
371.739;4.517
372.118;4.517
372.496;4.468
372.875;4.443
373.254;4.468
373.633;4.663
374.011;4.736
374.390;4.712
374.769;4.639
375.147;4.541
375.526;4.443
375.904;4.468
376.283;4.639
376.661;4.639
377.040;4.687
377.418;4.663
377.796;4.639
378.175;4.492
378.553;4.468
378.931;4.419
379.309;4.395
379.687;4.419
380.065;4.468
380.443;4.443
380.821;4.297
381.199;4.199
381.577;4.224
381.955;4.321
382.333;4.419
382.710;4.517
383.088;4.492
383.466;4.736
383.843;4.687
384.221;4.492
384.599;4.517
384.976;4.565
385.353;4.541
385.731;4.468
386.108;4.492
386.486;4.492
386.863;4.443
387.240;4.419
387.617;4.395
387.995;4.370
388.372;4.297
388.749;4.248
389.126;4.224
389.503;4.175
389.880;4.297
390.257;4.492
390.634;4.443
391.011;4.370
391.387;4.370
391.764;4.590
392.141;4.639
392.518;4.468
392.894;4.346
393.271;4.248
393.647;4.297
394.024;4.395
394.400;4.297
394.777;4.224
395.153;4.224
395.530;4.004
395.906;3.955
396.282;4.126
396.658;4.175
397.034;4.150
397.411;4.102
397.787;4.150
398.163;4.224
398.539;4.370
398.915;4.370
399.291;4.272
399.667;4.272
400.042;4.321
400.418;4.224
400.794;4.175
401.170;4.199
401.545;4.150
401.921;4.126
402.297;4.199
402.672;4.297
403.048;4.272
403.423;4.150
