Wave;Sample;Dark;Reference
291.313;201.343;49.100;0.000
291.482;118.243;5.300;0.000
291.651;90.263;2.000;0.000
291.820;131.701;48.200;0.000
291.989;143.745;41.800;0.000
292.157;101.288;24.400;0.000
292.326;107.482;30.800;0.000
292.495;70.338;-7.700;0.000
292.664;146.101;14.000;0.000
292.833;171.458;37.000;0.000
293.002;126.900;46.400;0.000
293.170;183.003;32.700;0.000
293.339;148.613;30.800;0.000
293.508;126.081;26.100;0.000
293.677;103.597;24.300;0.000
293.846;93.732;13.500;0.000
294.014;106.075;24.800;0.000
294.183;87.932;2.600;0.000
294.352;81.039;-1.600;0.000
294.521;178.233;46.500;0.000
294.690;157.028;18.500;0.000
294.858;197.315;74.200;0.000
295.027;133.026;21.200;0.000
295.196;101.506;0.400;0.000
295.365;164.510;35.700;0.000
295.533;130.874;20.600;0.000
295.702;95.602;30.500;0.000
295.871;132.012;15.900;0.000
296.040;206.392;50.200;0.000
296.208;128.603;39.400;0.000
296.377;53.889;12.600;0.000
296.546;91.227;-2.900;0.000
296.714;220.651;62.500;0.000
296.883;107.381;32.000;0.000
297.052;111.673;6.800;0.000
297.220;78.579;2.200;0.000
297.389;127.951;56.600;0.000
297.558;126.717;58.400;0.000
297.726;140.985;38.500;0.000
297.895;108.724;38.000;0.000
298.064;186.248;38.300;0.000
298.232;146.458;75.000;0.000
298.401;89.408;31.300;0.000
298.570;62.743;39.300;0.000
298.738;111.230;19.100;0.000
298.907;145.756;59.600;0.000
299.076;142.489;46.900;0.000
299.244;108.471;33.700;0.000
299.413;100.347;37.900;0.000
299.581;95.025;19.100;0.000
299.750;198.191;43.800;0.000
299.919;166.644;32.400;0.000
300.087;218.436;78.300;0.000
300.256;166.272;67.200;0.000
300.424;265.337;79.500;0.000
300.593;167.382;62.900;0.000
300.762;232.379;59.100;0.000
300.930;186.896;34.600;0.000
301.099;97.017;18.000;0.000
301.267;164.284;71.100;0.000
301.436;118.483;-3.100;0.000
301.604;98.707;61.500;0.000
301.773;156.127;24.300;0.000
301.941;118.337;64.400;0.000
302.110;142.700;52.500;0.000
302.278;132.788;50.700;0.000
302.447;148.393;34.700;0.000
302.615;130.039;52.200;0.000
302.784;128.751;52.400;0.000
302.952;193.666;59.100;0.000
303.121;104.530;30.700;0.000
303.289;195.715;60.500;0.000
303.458;107.063;20.100;0.000
303.626;126.120;52.200;0.000
303.795;53.762;9.400;0.000
303.963;43.691;33.500;0.000
304.132;116.377;34.100;0.000
304.300;139.590;31.700;0.000
304.468;125.193;40.100;0.000
304.637;34.620;-4.400;0.000
304.805;168.870;61.700;0.000
304.974;112.273;51.700;0.000
305.142;153.715;61.100;0.000
305.311;83.757;31.600;0.000
305.479;176.080;74.600;0.000
305.647;202.201;52.000;0.000
305.816;128.658;48.400;0.000
305.984;92.286;17.100;0.000
306.153;74.723;34.100;0.000
306.321;120.916;28.000;0.000
306.489;79.777;43.900;0.000
306.658;89.143;41.500;0.000
306.826;91.608;44.300;0.000
306.994;116.881;40.600;0.000
307.163;101.920;76.200;0.000
307.331;79.493;48.400;0.000
307.499;187.462;86.100;0.000
307.668;208.044;89.700;0.000
307.836;133.741;54.700;0.000
308.004;207.257;105.400;0.000
308.173;132.998;16.400;0.000
308.341;124.920;34.400;0.000
308.509;112.095;19.200;0.000
308.677;185.788;77.500;0.000
308.846;108.833;36.500;0.000
309.014;120.044;82.200;0.000
309.182;113.232;66.700;0.000
309.351;135.028;65.200;0.000
309.519;117.888;30.800;0.000
309.687;130.576;32.600;0.000
309.855;132.683;67.300;0.000
310.024;97.242;37.500;0.000
310.192;132.911;15.000;0.000
310.360;146.324;31.700;0.000
310.528;260.789;102.100;0.000
310.697;67.594;31.200;0.000
310.865;113.827;26.900;0.000
311.033;148.951;68.200;0.000
311.201;145.580;44.100;0.000
311.369;154.786;46.800;0.000
311.538;109.203;36.300;0.000
311.706;120.953;35.600;0.000
311.874;84.695;80.100;0.000
312.042;87.243;70.400;0.000
312.210;119.724;64.600;0.000
312.378;157.854;48.800;0.000
312.547;157.403;56.700;0.000
312.715;128.657;70.500;0.000
312.883;161.859;58.400;0.000
313.051;148.365;64.000;0.000
313.219;217.848;88.200;0.000
313.387;172.205;53.600;0.000
313.555;139.605;63.900;0.000
313.724;80.550;51.800;0.000
313.892;112.232;63.600;0.000
314.060;181.730;59.500;0.000
314.228;112.796;65.200;0.000
314.396;149.292;79.300;0.000
314.564;159.783;69.200;0.000
314.732;164.291;67.600;0.000
314.900;124.252;84.700;0.000
315.068;117.761;66.600;0.000
315.236;142.190;57.500;0.000
315.404;121.140;39.000;0.000
315.572;174.044;70.900;0.000
315.741;129.523;48.000;0.000
315.909;137.065;63.000;0.000
316.077;121.113;69.000;0.000
316.245;159.663;85.900;0.000
316.413;80.660;55.200;0.000
316.581;146.959;67.800;0.000
316.749;143.867;70.200;0.000
316.917;148.614;60.500;0.000
317.085;125.945;65.700;0.000
317.253;155.289;76.100;0.000
317.421;121.596;58.900;0.000
317.589;89.670;42.200;0.000
317.757;94.822;33.900;0.000
317.925;94.380;40.000;0.000
318.093;104.470;70.800;0.000
318.261;100.558;55.700;0.000
318.428;105.625;46.900;0.000
318.596;158.270;55.400;0.000
318.764;107.604;57.900;0.000
318.932;136.561;60.900;0.000
319.100;122.203;59.800;0.000
319.268;102.657;54.100;0.000
319.436;183.780;99.200;0.000
319.604;203.927;105.400;0.000
319.772;107.904;45.000;0.000
319.940;116.341;42.700;0.000
320.108;196.780;71.300;0.000
320.276;134.931;84.800;0.000
320.443;109.358;58.800;0.000
320.611;100.825;53.100;0.000
320.779;99.306;52.800;0.000
320.947;122.870;57.500;0.000
321.115;186.550;68.100;0.000
321.283;193.004;62.900;0.000
321.451;208.855;112.900;0.000
321.618;233.401;91.500;0.000
321.786;131.365;76.100;0.000
321.954;175.849;63.600;0.000
322.122;142.932;79.800;0.000
322.290;134.235;54.400;0.000
322.458;115.578;81.300;0.000
