Wave;Sample;Dark;Reference
294.298;471.478;-0.457;0.000
294.466;481.719;-1.073;0.000
294.634;80.257;4.472;0.000
294.803;325.724;4.177;0.000
294.971;304.266;6.561;0.000
295.139;394.630;5.087;0.000
295.307;174.047;1.481;0.000
295.475;69.917;-0.890;0.000
295.644;242.772;0.003;0.000
295.812;424.641;4.737;0.000
295.980;45.081;2.274;0.000
296.148;115.659;-0.932;0.000
296.316;51.478;-2.854;0.000
296.485;145.603;2.773;0.000
296.653;319.072;7.242;0.000
296.821;214.342;-0.689;0.000
296.989;43.477;-0.017;0.000
297.157;140.774;-2.706;0.000
297.325;226.610;8.497;0.000
297.494;129.802;5.204;0.000
297.662;361.292;8.287;0.000
297.830;55.342;4.020;0.000
297.998;316.272;-1.128;0.000
298.166;292.967;8.851;0.000
298.334;336.462;11.394;0.000
298.502;52.724;-6.531;0.000
298.670;57.522;-2.192;0.000
298.838;144.930;4.930;0.000
299.007;135.620;7.282;0.000
299.175;205.761;4.738;0.000
299.343;184.106;2.000;0.000
299.511;286.696;2.690;0.000
299.679;-46.504;6.196;0.000
299.847;423.031;-3.652;0.000
300.015;17.651;7.477;0.000
300.183;165.242;-2.648;0.000
300.351;163.639;4.659;0.000
300.519;400.430;-0.850;0.000
300.687;258.997;8.320;0.000
300.855;-103.485;6.913;0.000
301.023;304.050;-1.759;0.000
301.191;422.440;3.944;0.000
301.359;137.002;2.583;0.000
301.527;481.049;4.115;0.000
301.695;243.052;1.737;0.000
301.863;373.729;9.893;0.000
302.031;380.593;5.520;0.000
302.199;186.571;1.061;0.000
302.367;328.334;0.877;0.000
302.535;98.930;-3.125;0.000
302.703;170.662;4.512;0.000
302.871;249.609;-2.577;0.000
303.039;145.958;-0.590;0.000
303.207;155.052;3.385;0.000
303.375;244.231;-0.562;0.000
303.543;335.560;-0.040;0.000
303.711;185.334;3.518;0.000
303.879;151.714;4.525;0.000
304.047;286.334;4.810;0.000
304.215;142.036;-1.499;0.000
304.382;204.942;0.159;0.000
304.550;119.025;1.205;0.000
304.718;364.813;3.966;0.000
304.886;169.260;5.976;0.000
305.054;97.006;-0.844;0.000
305.222;65.568;-3.642;0.000
305.390;139.677;2.270;0.000
305.558;220.464;9.946;0.000
305.726;206.543;-1.000;0.000
305.893;318.210;7.100;0.000
306.061;169.719;-3.539;0.000
306.229;247.876;0.999;0.000
306.397;521.605;-1.434;0.000
306.565;315.838;-5.327;0.000
306.733;136.947;5.988;0.000
306.900;237.368;1.247;0.000
307.068;302.461;8.353;0.000
307.236;167.542;-0.969;0.000
307.404;171.005;3.450;0.000
307.572;467.566;3.037;0.000
307.739;164.776;0.852;0.000
307.907;356.348;8.333;0.000
308.075;230.432;6.850;0.000
308.243;182.016;7.386;0.000
308.411;166.463;4.265;0.000
308.578;335.837;-5.480;0.000
308.746;-63.011;-5.033;0.000
308.914;208.931;9.431;0.000
309.082;181.879;1.369;0.000
309.249;332.344;-3.070;0.000
309.417;79.762;6.044;0.000
309.585;170.729;1.723;0.000
309.753;220.876;-0.088;0.000
309.920;197.304;4.915;0.000
310.088;129.248;2.021;0.000
310.256;170.400;3.875;0.000
310.423;125.491;-0.627;0.000
310.591;276.478;11.216;0.000
310.759;163.081;0.845;0.000
310.927;372.969;3.411;0.000
311.094;288.626;6.687;0.000
311.262;118.244;5.287;0.000
311.430;2.395;-3.739;0.000
311.597;332.619;4.759;0.000
311.765;340.168;5.114;0.000
311.933;203.323;3.865;0.000
312.100;107.486;4.333;0.000
312.268;-55.967;8.709;0.000
312.435;37.249;7.561;0.000
312.603;416.061;2.205;0.000
312.771;176.339;1.788;0.000
312.938;170.208;7.384;0.000
313.106;216.792;11.171;0.000
313.274;583.039;7.468;0.000
313.441;297.630;1.811;0.000
313.609;7.234;-5.404;0.000
313.776;134.527;0.458;0.000
313.944;322.047;0.742;0.000
314.112;275.176;1.677;0.000
314.279;286.651;2.255;0.000
314.447;131.047;0.333;0.000
314.614;199.530;3.037;0.000
314.782;71.777;3.924;0.000
314.949;116.619;-1.139;0.000
315.117;371.626;6.782;0.000
315.284;298.678;4.509;0.000
315.452;529.159;10.387;0.000
315.620;97.739;1.030;0.000
315.787;229.544;1.360;0.000
315.955;232.683;6.835;0.000
316.122;186.655;2.152;0.000
316.290;123.722;5.870;0.000
316.457;180.704;0.762;0.000
316.625;187.495;-1.058;0.000
316.792;-102.065;-1.067;0.000
316.960;349.786;6.072;0.000
317.127;203.408;4.900;0.000
317.294;305.465;0.605;0.000
317.462;180.118;1.777;0.000
317.629;437.241;7.266;0.000
317.797;362.845;-2.809;0.000
317.964;154.647;-0.330;0.000
318.132;73.624;-2.964;0.000
318.299;240.157;4.704;0.000
318.467;170.592;2.302;0.000
318.634;232.104;5.470;0.000
318.801;179.876;0.688;0.000
318.969;526.179;3.575;0.000
319.136;163.128;8.555;0.000
319.304;109.940;5.746;0.000
319.471;129.495;-0.224;0.000
319.638;245.567;5.972;0.000
319.806;300.482;0.394;0.000
319.973;112.496;7.295;0.000
320.141;63.026;1.358;0.000
320.308;134.506;7.034;0.000
320.475;186.704;1.365;0.000
320.643;288.993;0.105;0.000
320.810;-74.180;1.495;0.000
320.977;462.917;7.043;0.000
321.145;0.520;0.131;0.000
321.312;330.411;-5.536;0.000
321.479;23.798;1.469;0.000
321.647;103.119;5.736;0.000
321.814;254.429;8.069;0.000
321.981;221.166;6.185;0.000
322.149;301.904;-3.648;0.000
322.316;130.805;4.803;0.000
322.483;116.181;-1.884;0.000
322.650;368.826;5.166;0.000
322.818;166.281;0.847;0.000
322.985;112.138;-0.408;0.000
323.152;169.335;6.865;0.000
323.320;191.660;2.265;0.000
323.487;-4.424;-1.765;0.000
323.654;193.939;2.709;0.000
323.821;322.277;0.437;0.000
323.989;498.730;5.472;0.000
324.156;1134.560;6.731;0.000
324.323;246.985;6.088;0.000
324.490;278.446;6.984;0.000
324.657;102.275;8.554;0.000
324.825;-51.177;-3.781;0.000
324.992;168.866;6.836;0.000
325.159;124.023;4.147;0.000
325.326;174.144;2.338;0.000
325.493;12.818;3.659;0.000
325.661;381.153;3.607;0.000
325.828;289.923;-0.295;0.000
325.995;360.033;2.513;0.000
326.162;226.091;2.078;0.000
326.329;176.977;1.872;0.000
326.496;88.529;3.241;0.000
326.664;314.989;5.450;0.000
326.831;233.001;7.368;0.000
326.998;177.029;2.703;0.000
327.165;151.348;8.580;0.000
327.332;80.914;2.955;0.000
327.499;190.663;6.737;0.000
327.666;437.810;-0.510;0.000
327.833;-50.382;5.143;0.000
328.000;335.041;2.373;0.000
328.168;86.422;7.656;0.000
328.335;424.689;4.903;0.000
328.502;186.453;0.417;0.000
328.669;98.118;10.234;0.000
328.836;245.796;6.246;0.000
329.003;255.059;8.021;0.000
329.170;440.844;5.649;0.000
329.337;277.014;0.323;0.000
329.504;263.522;4.908;0.000
329.671;985.819;8.546;0.000
329.838;1457.944;2.914;0.000
330.005;2905.976;10.704;0.000
330.172;5901.517;21.450;0.000
330.339;4425.016;17.276;0.000
330.506;1351.897;7.776;0.000
330.673;464.126;3.841;0.000
330.840;135.248;1.234;0.000
331.007;325.256;0.864;0.000
331.174;199.358;4.430;0.000
331.341;226.571;13.561;0.000
331.508;87.858;10.961;0.000
331.675;460.999;7.866;0.000
331.842;152.170;7.272;0.000
332.009;385.758;6.984;0.000
332.176;196.871;-2.107;0.000
332.343;418.716;1.112;0.000
332.510;348.368;12.449;0.000
332.677;137.706;0.179;0.000
332.844;151.905;6.830;0.000
333.011;438.245;2.609;0.000
333.178;197.243;6.269;0.000
333.345;363.232;3.542;0.000
333.511;140.670;-3.598;0.000
333.678;534.759;5.744;0.000
333.845;430.326;10.917;0.000
334.012;148.724;7.552;0.000
334.179;377.822;2.863;0.000
334.346;-16.029;3.206;0.000
334.513;157.724;2.952;0.000
334.680;203.599;3.175;0.000
334.846;35.655;3.166;0.000
335.013;173.971;0.915;0.000
335.180;200.880;5.472;0.000
335.347;160.843;9.265;0.000
335.514;-45.090;3.477;0.000
335.681;411.190;3.611;0.000
335.847;193.982;4.995;0.000
336.014;321.659;4.622;0.000
336.181;208.458;3.799;0.000
336.348;159.467;3.398;0.000
336.515;473.540;2.699;0.000
336.681;148.990;6.676;0.000
336.848;100.200;8.762;0.000
337.015;295.543;12.021;0.000
337.182;187.807;8.320;0.000
337.349;339.528;2.611;0.000
337.515;322.814;5.645;0.000
337.682;309.525;0.908;0.000
337.849;163.805;6.940;0.000
338.016;185.426;4.166;0.000
338.182;214.078;8.321;0.000
338.349;396.353;-3.280;0.000
338.516;193.039;-0.891;0.000
338.682;155.386;-2.465;0.000
338.849;-36.612;5.253;0.000
339.016;272.033;10.819;0.000
339.183;172.086;4.125;0.000
339.349;313.425;5.346;0.000
339.516;169.701;5.360;0.000
339.683;272.117;4.471;0.000
339.849;256.860;5.067;0.000
340.016;456.337;2.564;0.000
340.183;183.808;5.305;0.000
340.349;199.980;4.740;0.000
340.516;98.644;0.680;0.000
340.683;238.147;-1.453;0.000
340.849;315.241;4.724;0.000
341.016;185.414;8.517;0.000
341.183;358.083;8.211;0.000
