Wave;Sample;Dark;Reference
291.522;5.521;0.452;0.000
291.691;1.695;-2.606;0.000
291.860;2.545;-5.707;0.000
292.028;24.989;3.137;0.000
292.197;0.002;-5.365;0.000
292.366;-3.004;-5.924;0.000
292.534;4.625;4.592;0.000
292.703;-16.346;-7.592;0.000
292.871;1.069;1.995;0.000
293.040;8.183;5.388;0.000
293.209;29.452;0.631;0.000
293.377;-8.916;4.874;0.000
293.546;6.335;0.694;0.000
293.715;8.090;9.105;0.000
293.883;1.141;-11.140;0.000
294.052;-0.449;1.011;0.000
294.220;13.771;13.922;0.000
294.389;-8.690;6.509;0.000
294.557;7.392;0.391;0.000
294.726;-6.766;-4.477;0.000
294.895;11.815;2.941;0.000
295.063;-6.302;2.121;0.000
295.232;-3.309;5.764;0.000
295.400;10.076;3.321;0.000
295.569;10.101;5.179;0.000
295.737;-4.781;-3.715;0.000
295.906;-2.612;-0.135;0.000
296.074;-6.031;7.199;0.000
296.243;5.442;2.134;0.000
296.411;5.782;5.388;0.000
296.580;12.784;0.971;0.000
296.748;-9.123;4.165;0.000
296.917;16.164;9.844;0.000
297.085;3.212;4.250;0.000
297.254;3.702;12.743;0.000
297.422;-2.086;4.725;0.000
297.591;4.878;15.176;0.000
297.759;-12.735;0.502;0.000
297.928;6.775;2.372;0.000
298.096;-6.585;5.308;0.000
298.265;1.220;2.788;0.000
298.433;4.839;-3.306;0.000
298.601;-1.511;11.652;0.000
298.770;4.909;5.296;0.000
298.938;-7.227;10.452;0.000
299.107;-1.957;3.576;0.000
299.275;7.629;-1.203;0.000
299.443;-15.524;1.234;0.000
299.612;11.423;10.169;0.000
299.780;2.464;0.349;0.000
299.949;5.173;11.582;0.000
300.117;5.713;3.754;0.000
300.285;2.348;-4.398;0.000
300.454;-0.473;-2.898;0.000
300.622;-2.289;6.525;0.000
300.790;3.283;4.699;0.000
300.959;4.275;11.908;0.000
301.127;11.243;16.834;0.000
301.296;10.068;22.426;0.000
301.464;7.296;6.043;0.000
301.632;7.736;1.301;0.000
301.800;-2.958;9.362;0.000
301.969;-13.963;1.991;0.000
302.137;2.643;5.579;0.000
302.305;0.774;4.710;0.000
302.474;11.116;3.013;0.000
302.642;18.828;7.931;0.000
302.810;-4.860;-2.014;0.000
302.979;5.796;5.201;0.000
303.147;-5.561;9.291;0.000
303.315;4.644;5.402;0.000
303.483;0.114;1.728;0.000
303.652;3.217;7.782;0.000
303.820;1.469;8.322;0.000
303.988;2.462;-4.917;0.000
304.156;3.510;5.615;0.000
304.325;4.107;11.326;0.000
304.493;1.518;9.292;0.000
304.661;-14.265;-1.022;0.000
304.829;7.555;1.740;0.000
304.998;-7.021;6.723;0.000
305.166;2.127;12.859;0.000
305.334;14.658;15.208;0.000
305.502;8.263;6.288;0.000
305.670;5.555;13.459;0.000
305.839;-16.214;6.448;0.000
306.007;6.519;2.152;0.000
306.175;14.080;-2.574;0.000
306.343;7.772;5.520;0.000
306.511;-8.837;6.277;0.000
306.679;4.651;7.513;0.000
306.848;2.322;-0.303;0.000
307.016;6.527;-2.063;0.000
307.184;9.334;7.718;0.000
307.352;8.239;4.835;0.000
307.520;-0.304;-4.988;0.000
307.688;-4.208;-3.430;0.000
307.856;-1.870;0.876;0.000
308.024;-0.296;10.026;0.000
308.193;7.081;-2.916;0.000
308.361;19.180;12.125;0.000
308.529;3.574;-3.802;0.000
308.697;12.273;12.372;0.000
308.865;5.694;8.129;0.000
309.033;-4.949;5.350;0.000
309.201;-3.564;5.704;0.000
309.369;15.386;7.082;0.000
309.537;-4.316;-4.399;0.000
309.705;-11.384;0.152;0.000
309.873;-11.647;0.638;0.000
310.041;3.858;-3.493;0.000
310.209;-3.796;11.969;0.000
310.377;8.984;5.055;0.000
310.545;-2.130;-1.923;0.000
310.713;5.415;1.691;0.000
310.881;6.413;9.653;0.000
311.049;-3.959;-0.852;0.000
311.217;-8.429;5.569;0.000
311.385;2.296;-0.019;0.000
311.553;14.078;4.875;0.000
311.721;6.073;10.783;0.000
311.889;-16.365;5.954;0.000
312.057;-0.431;-3.863;0.000
312.225;8.678;2.577;0.000
312.393;12.401;-0.179;0.000
312.561;13.372;14.237;0.000
312.729;1.579;8.037;0.000
312.897;-2.930;0.835;0.000
313.065;12.942;8.546;0.000
313.233;2.485;1.288;0.000
313.401;-11.814;2.456;0.000
313.569;-26.694;-6.058;0.000
313.737;0.518;0.767;0.000
313.905;-0.140;-3.748;0.000
314.072;1.279;4.852;0.000
314.240;4.144;8.747;0.000
314.408;-5.277;6.881;0.000
314.576;8.003;1.576;0.000
314.744;-4.012;-5.194;0.000
314.912;5.650;3.087;0.000
315.080;-6.995;3.962;0.000
315.248;-1.499;5.599;0.000
315.415;3.976;6.889;0.000
315.583;-8.094;-8.117;0.000
315.751;1.639;0.020;0.000
315.919;-0.154;-6.532;0.000
316.087;6.101;-3.456;0.000
316.255;-2.855;-0.424;0.000
316.422;4.923;1.878;0.000
316.590;-0.225;-0.866;0.000
316.758;8.746;1.019;0.000
316.926;8.146;7.068;0.000
317.094;5.585;-10.085;0.000
317.261;5.169;-11.329;0.000
317.429;-11.998;1.704;0.000
317.597;-6.966;5.544;0.000
317.765;8.361;17.684;0.000
317.933;-11.755;-2.539;0.000
318.100;-0.696;-7.018;0.000
318.268;-8.354;0.704;0.000
318.436;-4.450;16.914;0.000
318.604;-2.939;-3.625;0.000
318.771;6.893;-0.207;0.000
318.939;-3.351;-2.863;0.000
319.107;13.153;8.734;0.000
319.275;-4.197;6.169;0.000
319.442;-14.062;0.647;0.000
319.610;13.291;-5.088;0.000
319.778;5.695;4.060;0.000
319.945;-4.176;9.957;0.000
320.113;9.557;13.450;0.000
320.281;-0.038;3.190;0.000
320.448;15.982;9.556;0.000
320.616;-0.090;-10.600;0.000
320.784;14.992;6.724;0.000
320.951;2.436;3.963;0.000
321.119;5.710;9.266;0.000
321.287;9.893;9.582;0.000
321.454;22.927;11.305;0.000
