# lambda/AA  F/Fc
6599.9991 0.999024
6599.9975 0.998927
6599.9959 0.998855
6599.9942 0.998950
6599.9926 0.999074
6599.9909 0.999061
6599.9893 0.999071
6599.9877 0.999150
6599.9860 0.999170
6599.9844 0.999119
6599.9827 0.999066
6599.9811 0.999137
6599.9794 0.999304
6599.9778 0.999235
6599.9762 0.998908
6599.9745 0.998758
6599.9729 0.998908
6599.9712 0.999162
6599.9696 0.999460
6599.9680 0.999647
6599.9663 0.999573
6599.9647 0.999441
6599.9630 0.999427
6599.9614 0.999435
6599.9598 0.999382
6599.9581 0.999219
6599.9565 0.999005
6599.9548 0.998955
6599.9532 0.999013
6599.9515 0.998910
6599.9499 0.998722
6599.9483 0.998698
6599.9466 0.998860
6599.9450 0.999091
6599.9433 0.999220
6599.9417 0.999163
6599.9401 0.999099
6599.9384 0.999153
6599.9368 0.999201
6599.9351 0.999159
6599.9335 0.999053
6599.9319 0.998907
6599.9302 0.998784
6599.9286 0.998693
6599.9269 0.998594
6599.9253 0.998544
6599.9236 0.998556
6599.9220 0.998549
6599.9204 0.998550
6599.9187 0.998545
6599.9171 0.998395
6599.9154 0.998182
6599.9138 0.998127
6599.9122 0.998212
6599.9105 0.998259
6599.9089 0.998178
6599.9072 0.998010
6599.9056 0.997845
6599.9040 0.997638
6599.9023 0.997323
6599.9007 0.997162
6599.8990 0.997400
6599.8974 0.997688
6599.8957 0.997543
6599.8941 0.997123
6599.8925 0.996920
6599.8908 0.996975
6599.8892 0.996986
6599.8875 0.996848
6599.8859 0.996632
6599.8843 0.996371
6599.8826 0.996196
6599.8810 0.996243
6599.8793 0.996375
6599.8777 0.996436
6599.8761 0.996469
6599.8744 0.996462
6599.8728 0.996321
6599.8711 0.996042
6599.8695 0.995645
6599.8678 0.995298
6599.8662 0.995291
6599.8646 0.995447
6599.8629 0.995263
6599.8613 0.994847
6599.8596 0.994773
6599.8580 0.995030
6599.8564 0.995053
6599.8547 0.994711
6599.8531 0.994479
6599.8514 0.994562
6599.8498 0.994556
6599.8482 0.994216
6599.8465 0.993788
6599.8449 0.993489
6599.8432 0.993383
6599.8416 0.993512
6599.8400 0.993676
6599.8383 0.993731
6599.8367 0.993927
6599.8350 0.994245
6599.8334 0.994277
6599.8317 0.994072
6599.8301 0.993970
6599.8285 0.993891
6599.8268 0.993757
6599.8252 0.993746
6599.8235 0.993774
6599.8219 0.993699
6599.8203 0.993729
6599.8186 0.993888
6599.8170 0.993837
6599.8153 0.993635
6599.8137 0.993705
6599.8121 0.993965
6599.8104 0.993968
6599.8088 0.993795
6599.8071 0.993876
6599.8055 0.994157
6599.8038 0.994286
6599.8022 0.994283
6599.8006 0.994345
6599.7989 0.994428
6599.7973 0.994425
6599.7956 0.994366
6599.7940 0.994321
6599.7924 0.994340
6599.7907 0.994434
6599.7891 0.994609
6599.7874 0.994831
6599.7858 0.994865
6599.7842 0.994544
6599.7825 0.994304
6599.7809 0.994676
6599.7792 0.995282
6599.7776 0.995397
6599.7759 0.995159
6599.7743 0.995127
6599.7727 0.995238
6599.7710 0.995187
6599.7694 0.995084
6599.7677 0.995071
6599.7661 0.995043
6599.7645 0.994980
6599.7628 0.995009
6599.7612 0.995184
6599.7595 0.995414
6599.7579 0.995489
6599.7563 0.995307
6599.7546 0.995103
6599.7530 0.995102
6599.7513 0.995217
6599.7497 0.995286
6599.7481 0.995214
6599.7464 0.994966
6599.7448 0.994711
6599.7431 0.994624
6599.7415 0.994613
6599.7398 0.994579
6599.7382 0.994632
6599.7366 0.994783
6599.7349 0.994824
6599.7333 0.994643
6599.7316 0.994386
6599.7300 0.994135
6599.7284 0.993710
6599.7267 0.993146
6599.7251 0.992853
6599.7234 0.992805
6599.7218 0.992460
6599.7202 0.991784
6599.7185 0.991212
6599.7169 0.990859
6599.7152 0.990738
6599.7136 0.990923
6599.7119 0.991004
6599.7103 0.990522
6599.7087 0.989714
6599.7070 0.988970
6599.7054 0.988314
6599.7037 0.987749
6599.7021 0.987231
6599.7005 0.986550
6599.6988 0.985743
6599.6972 0.984996
6599.6955 0.984169
6599.6939 0.983140
6599.6923 0.982143
6599.6906 0.981250
6599.6890 0.980228
6599.6873 0.979105
6599.6857 0.978132
6599.6841 0.977241
6599.6824 0.976191
6599.6808 0.975017
6599.6791 0.973921
6599.6775 0.972943
6599.6758 0.971967
6599.6742 0.970939
6599.6726 0.969965
6599.6709 0.969158
6599.6693 0.968445
6599.6676 0.967685
6599.6660 0.966888
6599.6644 0.966271
6599.6627 0.966091
6599.6611 0.966335
6599.6594 0.966703
6599.6578 0.967046
6599.6562 0.967544
6599.6545 0.968355
6599.6529 0.969390
6599.6512 0.970460
6599.6496 0.971499
6599.6479 0.972635
6599.6463 0.973964
6599.6447 0.975327
6599.6430 0.976550
6599.6414 0.977692
6599.6397 0.978865
6599.6381 0.980088
6599.6365 0.981293
6599.6348 0.982305
6599.6332 0.983045
6599.6315 0.983717
6599.6299 0.984498
6599.6283 0.985219
6599.6266 0.985680
6599.6250 0.986078
6599.6233 0.986702
6599.6217 0.987424
6599.6201 0.987964
6599.6184 0.988375
6599.6168 0.988753
6599.6151 0.988990
6599.6135 0.989144
6599.6118 0.989421
6599.6102 0.989795
6599.6086 0.990113
6599.6069 0.990313
6599.6053 0.990451
6599.6036 0.990703
6599.6020 0.991065
6599.6004 0.991303
6599.5987 0.991389
6599.5971 0.991432
6599.5954 0.991399
6599.5938 0.991464
6599.5922 0.991827
6599.5905 0.992103
6599.5889 0.991959
6599.5872 0.991809
6599.5856 0.992017
6599.5840 0.992307
6599.5823 0.992377
6599.5807 0.992348
6599.5790 0.992462
6599.5774 0.992672
6599.5757 0.992713
6599.5741 0.992583
6599.5725 0.992510
6599.5708 0.992527
6599.5692 0.992568
6599.5675 0.992674
6599.5659 0.992854
6599.5643 0.993120
6599.5626 0.993454
6599.5610 0.993628
6599.5593 0.993517
6599.5577 0.993352
6599.5561 0.993344
6599.5544 0.993453
6599.5528 0.993484
6599.5511 0.993370
6599.5495 0.993454
6599.5479 0.993977
6599.5462 0.994477
6599.5446 0.994541
6599.5429 0.994445
6599.5413 0.994406
6599.5396 0.994237
6599.5380 0.993964
6599.5364 0.993886
6599.5347 0.994141
6599.5331 0.994549
6599.5314 0.994777
6599.5298 0.994763
6599.5282 0.994776
6599.5265 0.994921
6599.5249 0.995030
6599.5232 0.995006
6599.5216 0.994898
6599.5200 0.994850
6599.5183 0.994917
6599.5167 0.994866
6599.5150 0.994613
6599.5134 0.994517
6599.5117 0.994751
6599.5101 0.995042
6599.5085 0.995208
6599.5068 0.995305
6599.5052 0.995366
6599.5035 0.995337
6599.5019 0.995169
6599.5003 0.995001
6599.4986 0.995043
6599.4970 0.995157
6599.4953 0.995069
6599.4937 0.994875
6599.4921 0.994803
6599.4904 0.994906
6599.4888 0.995153
6599.4871 0.995358
6599.4855 0.995268
6599.4839 0.994990
6599.4822 0.994781
6599.4806 0.994634
6599.4789 0.994530
6599.4773 0.994571
6599.4756 0.994673
6599.4740 0.994674
6599.4724 0.994599
6599.4707 0.994503
6599.4691 0.994373
6599.4674 0.994210
6599.4658 0.993991
6599.4642 0.993755
6599.4625 0.993705
6599.4609 0.993853
6599.4592 0.993894
6599.4576 0.993744
6599.4560 0.993634
6599.4543 0.993539
6599.4527 0.993279
6599.4510 0.992990
6599.4494 0.992789
6599.4478 0.992488
6599.4461 0.992101
6599.4445 0.991896
6599.4428 0.991847
6599.4412 0.991732
6599.4396 0.991564
6599.4379 0.991423
6599.4363 0.991246
6599.4346 0.991035
6599.4330 0.990855
6599.4313 0.990569
6599.4297 0.990040
6599.4281 0.989536
6599.4264 0.989344
6599.4248 0.989179
6599.4231 0.988702
6599.4215 0.988182
6599.4199 0.987898
6599.4182 0.987641
6599.4166 0.987310
6599.4149 0.987093
6599.4133 0.986927
6599.4117 0.986503
6599.4100 0.985744
6599.4084 0.984944
6599.4067 0.984424
6599.4051 0.984058
6599.4035 0.983474
6599.4018 0.982737
