Wavelength (nm);Absorbance Solution;Transmittance Solution
341.676;0.000;100.000
342.058;0.045;90.056
342.440;0.151;70.600
342.822;0.092;80.900
343.204;0.156;69.808
343.586;0.147;71.206
343.968;0.022;95.063
344.350;0.000;100.000
344.732;0.062;86.786
345.114;0.173;67.167
345.495;0.062;86.786
345.877;0.000;100.000
346.259;0.000;100.000
346.640;0.000;100.000
347.022;0.000;100.000
347.403;0.000;100.000
347.785;0.000;100.000
348.166;0.000;100.000
348.548;0.000;100.000
348.929;0.000;100.000
349.311;0.000;100.000
349.692;0.000;100.000
350.073;0.000;100.000
350.454;0.000;100.000
350.836;0.000;100.000
351.217;0.156;69.808
351.598;0.301;50.000
351.979;0.092;80.900
352.360;0.000;100.000
352.741;0.000;100.000
353.122;0.000;100.000
353.503;0.000;100.000
353.884;0.109;77.731
354.265;0.208;61.885
354.645;0.232;58.583
355.026;0.189;64.714
355.407;0.220;60.300
355.787;0.241;57.357
356.168;0.092;80.900
356.549;0.000;100.000
356.929;0.000;100.000
357.310;0.000;100.000
357.690;0.000;100.000
358.071;0.000;100.000
358.451;0.173;67.167
358.831;0.000;100.000
359.212;0.000;100.000
359.592;0.000;100.000
359.972;0.000;100.000
360.352;0.000;100.000
360.732;0.000;100.000
361.113;0.000;100.000
361.493;0.000;100.000
361.873;0.000;100.000
362.253;0.000;100.000
362.632;0.000;100.000
363.012;0.000;100.000
363.392;0.000;100.000
363.772;0.000;100.000
364.152;0.000;100.000
364.532;0.000;100.000
364.911;0.000;100.000
365.291;0.000;100.000
365.670;0.052;88.625
366.050;0.202;62.875
366.430;0.301;50.000
366.809;0.301;50.000
367.188;1.994;1.015
367.568;0.000;100.000
367.947;0.000;100.000
368.327;0.000;100.000
368.706;0.000;100.000
369.085;0.000;100.000
369.464;0.105;78.611
369.843;0.301;50.000
370.223;0.142;72.071
370.602;0.134;73.409
370.981;0.156;69.808
371.360;0.074;84.333
371.739;0.000;100.000
372.118;0.000;100.000
372.496;0.000;100.000
372.875;0.000;100.000
373.254;0.000;100.000
373.633;0.000;100.000
374.011;0.000;100.000
374.390;0.000;100.000
374.769;0.000;100.000
375.147;0.000;100.000
375.526;0.000;100.000
375.904;0.000;100.000
376.283;0.000;100.000
376.661;0.000;100.000
377.040;0.000;100.000
377.418;0.000;100.000
377.796;0.000;100.000
378.175;0.000;100.000
378.553;0.000;100.000
378.931;0.000;100.000
379.309;0.000;100.000
379.687;0.000;100.000
380.065;0.045;90.056
380.443;0.000;100.000
380.821;0.000;100.000
381.199;0.000;100.000
381.577;0.000;100.000
381.955;3.000;0.100
382.333;0.000;100.000
382.710;0.000;100.000
383.088;0.000;100.000
383.466;0.000;100.000
383.843;0.000;100.000
384.221;0.000;100.000
384.599;0.000;100.000
384.976;0.000;100.000
385.353;0.000;100.000
385.731;0.000;100.000
386.108;0.100;79.429
