Wavelength (nm);Absorbance Solution;Transmittance Solution
341.676;0.000;100.000
342.058;0.000;100.000
342.440;0.092;80.900
342.822;0.092;80.900
343.204;0.029;93.577
343.586;0.049;89.382
343.968;0.052;88.625
344.350;0.074;84.333
344.732;0.241;57.357
345.114;0.805;15.667
345.495;0.370;42.643
345.877;0.000;100.000
346.259;0.000;100.000
346.640;0.000;100.000
347.022;0.000;100.000
347.403;0.000;100.000
347.785;0.000;100.000
348.166;0.000;100.000
348.548;0.000;100.000
348.929;0.000;100.000
349.311;0.040;91.200
349.692;0.000;100.000
350.073;0.000;100.000
350.454;0.000;100.000
350.836;0.000;100.000
351.217;0.000;100.000
351.598;0.000;100.000
351.979;0.000;100.000
352.360;0.000;100.000
352.741;0.000;100.000
353.122;0.000;100.000
353.503;0.000;100.000
353.884;0.000;100.000
354.265;0.067;85.654
354.645;0.074;84.333
355.026;0.100;79.429
355.407;0.401;39.700
355.787;3.000;0.100
356.168;0.220;60.300
356.549;0.142;72.071
356.929;3.000;0.100
357.310;3.000;0.100
357.690;0.000;100.000
358.071;0.121;75.750
358.451;0.000;100.000
358.831;0.000;100.000
359.212;0.000;100.000
359.592;0.000;100.000
359.972;0.000;100.000
360.352;0.000;100.000
360.732;0.000;100.000
361.113;0.062;86.786
361.493;0.121;75.750
361.873;0.000;100.000
362.253;0.000;100.000
362.632;0.000;100.000
363.012;0.092;80.900
363.392;0.000;100.000
363.772;0.000;100.000
364.152;0.000;100.000
364.532;0.045;90.056
364.911;0.301;50.000
365.291;0.615;24.250
365.670;0.202;62.875
366.050;0.202;62.875
366.430;0.301;50.000
366.809;0.000;100.000
367.188;3.000;0.100
367.568;0.000;100.000
367.947;0.000;100.000
368.327;0.000;100.000
368.706;0.000;100.000
369.085;0.000;100.000
369.464;0.000;100.000
369.843;0.000;100.000
370.223;0.000;100.000
370.602;0.000;100.000
370.981;0.000;100.000
371.360;0.000;100.000
371.739;0.000;100.000
372.118;0.000;100.000
372.496;0.000;100.000
372.875;0.000;100.000
373.254;0.052;88.625
373.633;0.301;50.000
374.011;0.040;91.200
374.390;0.000;100.000
374.769;0.000;100.000
375.147;0.040;91.200
375.526;0.000;100.000
375.904;0.000;100.000
376.283;0.062;86.786
376.661;0.142;72.071
377.040;0.062;86.786
377.418;0.241;57.357
377.796;0.142;72.071
378.175;0.062;86.786
378.553;0.000;100.000
378.931;0.000;100.000
379.309;0.000;100.000
379.687;0.000;100.000
380.065;0.173;67.167
380.443;0.173;67.167
380.821;0.134;73.409
381.199;0.121;75.750
381.577;0.000;100.000
381.955;3.000;0.100
382.333;0.000;100.000
382.710;0.000;100.000
383.088;0.000;100.000
383.466;0.220;60.300
383.843;0.301;50.000
384.221;0.354;44.278
384.599;0.220;60.300
384.976;0.000;100.000
385.353;0.000;100.000
385.731;0.000;100.000
386.108;0.062;86.786
386.486;0.220;60.300
386.863;0.337;46.038
387.240;1.056;8.800
387.617;0.452;35.286
387.995;0.520;30.192
388.372;0.879;13.214
388.749;0.142;72.071
389.126;0.052;88.625
389.503;3.000;0.100
389.880;0.000;100.000
390.257;0.000;100.000
390.634;0.000;100.000
391.011;0.121;75.750
391.387;0.142;72.071
391.764;0.082;82.773
392.141;0.000;100.000
392.518;0.000;100.000
392.894;0.000;100.000
393.271;0.000;100.000
393.647;0.000;100.000
394.024;0.000;100.000
394.400;0.000;100.000
394.777;0.062;86.786
395.153;0.000;100.000
395.530;0.301;50.000
395.906;3.000;0.100
396.282;0.000;100.000
396.658;0.040;91.200
397.034;0.000;100.000
397.411;0.000;100.000
397.787;3.000;0.100
398.163;3.000;0.100
398.539;0.000;100.000
398.915;0.000;100.000
399.291;0.000;100.000
399.667;0.000;100.000
400.042;0.000;100.000
400.418;0.000;100.000
400.794;0.000;100.000
401.170;0.000;100.000
401.545;0.000;100.000
401.921;0.000;100.000
402.297;0.000;100.000
402.672;0.000;100.000
403.048;0.000;100.000
403.423;0.484;32.833
403.799;0.615;24.250
404.174;3.000;0.100
404.549;3.000;0.100
404.925;3.000;0.100
405.300;3.000;0.100
405.675;0.000;100.000
406.050;0.000;100.000
406.426;3.000;0.100
406.801;3.000;0.100
407.176;3.000;0.100
407.551;0.000;100.000
407.926;3.000;0.100
408.301;3.000;0.100
408.676;0.000;100.000
409.050;3.000;0.100
409.425;3.000;0.100
409.800;3.000;0.100
410.175;3.000;0.100
410.549;3.000;0.100
410.924;3.000;0.100
411.299;3.000;0.100
411.673;3.000;0.100
412.048;3.000;0.100
412.422;3.000;0.100
412.797;0.000;100.000
413.171;0.000;100.000
413.545;0.000;100.000
413.920;3.000;0.100
414.294;3.000;0.100
414.668;3.000;0.100
415.042;3.000;0.100
415.416;0.000;100.000
415.790;0.000;100.000
416.164;0.000;100.000
416.538;3.000;0.100
416.912;3.000;0.100
417.286;3.000;0.100
417.660;3.000;0.100
418.034;3.000;0.100
418.408;3.000;0.100
418.782;3.000;0.100
419.155;3.000;0.100
419.529;3.000;0.100
419.903;3.000;0.100
420.276;3.000;0.100
420.650;3.000;0.100
421.023;3.000;0.100
421.397;3.000;0.100
421.770;3.000;0.100
422.144;3.000;0.100
422.517;3.000;0.100
422.890;3.000;0.100
423.263;3.000;0.100
423.637;3.000;0.100
424.010;3.000;0.100
424.383;3.000;0.100
424.756;3.000;0.100
425.129;3.000;0.100
425.502;3.000;0.100
425.875;0.000;100.000
426.248;3.000;0.100
426.621;3.000;0.100
426.994;3.000;0.100
427.366;3.000;0.100
427.739;3.000;0.100
428.112;3.000;0.100
428.484;3.000;0.100
428.857;3.000;0.100
429.230;3.000;0.100
429.602;3.000;0.100
429.975;3.000;0.100
430.347;3.000;0.100
430.719;3.000;0.100
431.092;3.000;0.100
431.464;3.000;0.100
431.836;3.000;0.100
432.209;3.000;0.100
432.581;3.000;0.100
432.953;3.000;0.100
433.325;3.000;0.100
433.697;3.000;0.100
434.069;3.000;0.100
434.441;3.000;0.100
434.813;3.000;0.100
435.185;3.000;0.100
435.557;3.000;0.100
435.929;3.000;0.100
436.300;1.917;1.211
436.672;3.000;0.100
437.044;3.000;0.100
437.415;3.000;0.100
437.787;3.000;0.100
438.159;3.000;0.100
438.530;3.000;0.100
438.902;3.000;0.100
439.273;3.000;0.100
439.644;3.000;0.100
440.016;3.000;0.100
440.387;3.000;0.100
440.758;3.000;0.100
441.129;3.000;0.100
441.501;3.000;0.100
441.872;3.000;0.100
442.243;3.000;0.100
442.614;3.000;0.100
442.985;3.000;0.100
443.356;3.000;0.100
443.727;3.000;0.100
444.098;3.000;0.100
444.468;1.497;3.182
444.839;3.000;0.100
445.210;3.000;0.100
445.581;3.000;0.100
445.951;3.000;0.100
446.322;3.000;0.100
446.692;3.000;0.100
447.063;3.000;0.100
447.433;3.000;0.100
447.804;3.000;0.100
448.174;3.000;0.100
448.545;3.000;0.100
448.915;3.000;0.100
449.285;3.000;0.100
449.655;3.000;0.100
450.026;3.000;0.100
450.396;3.000;0.100
450.766;3.000;0.100
451.136;3.000;0.100
451.506;3.000;0.100
451.876;3.000;0.100
452.246;3.000;0.100
452.616;3.000;0.100
452.985;3.000;0.100
453.355;3.000;0.100
453.725;3.000;0.100
454.095;3.000;0.100
454.464;3.000;0.100
454.834;3.000;0.100
455.204;3.000;0.100
455.573;3.000;0.100
455.943;3.000;0.100
456.312;3.000;0.100
456.681;3.000;0.100
457.051;3.000;0.100
457.420;3.000;0.100
457.789;3.000;0.100
458.159;3.000;0.100
458.528;3.000;0.100
458.897;3.000;0.100
459.266;3.000;0.100
459.635;3.000;0.100
460.004;1.807;1.559
460.373;1.324;4.742
460.742;1.306;4.937
461.111;1.520;3.018
461.480;1.875;1.335
461.849;3.000;0.100
462.217;3.000;0.100
462.586;3.000;0.100
462.955;2.390;0.407
463.323;1.554;2.792
463.692;1.714;1.933
464.060;1.739;1.823
464.429;1.351;4.459
464.797;1.331;4.662
465.166;1.554;2.792
465.534;2.830;0.148
465.903;3.000;0.100
466.271;3.000;0.100
466.639;3.000;0.100
467.007;3.000;0.100
467.375;3.000;0.100
467.744;2.830;0.148
468.112;3.000;0.100
468.480;3.000;0.100
468.848;1.563;2.733
469.216;1.554;2.792
469.583;1.446;3.577
469.951;1.549;2.822
470.319;3.000;0.100
470.687;3.000;0.100
471.055;3.000;0.100
471.422;3.000;0.100
471.790;3.000;0.100
472.157;3.000;0.100
472.525;3.000;0.100
472.892;1.982;1.043
473.260;1.460;3.464
473.627;1.563;2.733
473.995;1.627;2.362
474.362;1.243;5.717
474.729;1.083;8.251
475.097;0.933;11.674
475.464;0.936;11.579
475.831;0.989;10.255
476.198;1.206;6.225
476.565;1.258;5.523
476.932;1.232;5.857
477.299;1.162;6.884
477.666;1.113;7.707
