Wavelength (nm);Intensity Source
341.394;5.469
341.768;5.713
342.142;5.566
342.516;5.444
342.890;5.420
343.264;5.566
343.638;5.591
344.012;5.664
344.386;5.591
344.760;5.762
345.133;5.469
345.507;5.664
345.881;5.566
346.255;5.420
346.628;5.444
347.002;5.591
347.376;5.713
347.749;5.566
348.123;5.811
348.496;5.762
348.870;5.688
349.243;5.786
349.617;5.737
349.990;5.713
350.363;5.957
350.737;5.762
351.110;5.664
351.483;5.786
351.857;5.591
352.230;5.835
352.603;5.835
352.976;5.786
353.349;5.664
353.722;5.615
354.095;5.786
354.468;5.811
354.841;5.713
355.214;5.713
355.587;5.786
355.960;5.688
356.333;5.786
356.706;5.835
357.079;5.786
357.451;5.737
357.824;5.933
358.197;5.737
358.569;5.884
358.942;5.933
359.315;5.835
359.687;5.688
360.060;5.835
360.432;5.811
360.805;5.786
361.177;5.688
361.550;5.908
361.922;5.737
362.294;5.811
362.667;5.835
363.039;5.811
363.411;5.615
363.783;5.908
364.156;5.762
364.528;5.713
364.900;5.713
365.272;5.786
365.644;5.713
366.016;5.884
366.388;5.737
366.760;5.713
367.132;5.908
367.504;5.664
367.876;5.786
368.247;5.933
368.619;5.566
368.991;5.981
369.363;5.835
369.734;5.933
370.106;5.762
370.478;5.737
370.849;6.055
371.221;5.859
371.592;5.811
371.964;5.908
372.335;5.859
372.707;5.737
373.078;5.811
373.450;5.835
373.821;5.737
374.192;6.006
374.564;5.908
374.935;5.811
375.306;5.811
375.677;6.030
376.048;5.908
376.419;5.493
376.790;5.786
377.162;5.786
377.533;5.713
377.903;5.811
378.274;5.786
378.645;5.884
379.016;5.835
379.387;5.933
379.758;5.762
380.129;5.981
380.499;5.737
380.870;5.908
381.241;5.859
381.611;5.957
381.982;5.908
382.353;5.786
382.723;5.786
383.094;5.835
383.464;6.079
383.835;5.859
384.205;5.811
384.575;5.835
384.946;5.908
385.316;5.908
385.686;5.908
386.057;5.835
386.427;5.811
386.797;5.811
387.167;5.811
387.537;5.811
387.907;5.859
388.277;5.884
388.647;5.957
389.017;6.006
389.387;5.957
389.757;5.713
390.127;5.908
390.497;5.957
390.867;5.908
391.237;5.835
391.606;5.859
391.976;5.981
392.346;5.884
392.715;5.933
393.085;6.055
393.455;5.884
393.824;5.859
394.194;5.835
394.563;5.957
394.933;5.933
395.302;5.835
395.671;5.859
396.041;6.030
396.410;5.957
396.779;5.811
397.149;6.006
397.518;5.981
397.887;5.737
398.256;5.957
398.625;5.884
398.994;5.884
399.363;5.957
399.732;5.957
400.101;6.006
400.470;5.908
400.839;5.859
401.208;5.908
401.577;5.908
401.946;5.933
402.315;5.859
402.683;5.981
403.052;5.859
403.421;5.762
403.789;5.933
404.158;5.908
404.526;5.762
404.895;5.908
405.263;5.981
405.632;5.713
406.000;6.055
406.369;5.957
406.737;5.859
407.105;5.884
407.474;5.933
407.842;5.908
408.210;5.908
408.578;6.030
408.947;6.030
409.315;5.884
409.683;5.884
410.051;6.055
410.419;5.859
410.787;5.957
411.155;5.811
411.523;5.933
411.891;5.908
412.259;5.859
412.626;5.957
412.994;5.957
413.362;6.030
413.730;5.908
414.097;5.908
414.465;5.957
414.833;6.030
415.200;5.908
415.568;5.957
415.935;6.055
416.303;6.055
416.670;6.055
417.038;5.884
417.405;6.104
417.772;5.933
418.140;6.006
418.507;6.030
418.874;6.104
419.241;6.030
419.608;5.981
419.976;6.177
420.343;5.981
420.710;5.884
421.077;5.957
421.444;5.957
421.811;6.006
422.178;6.152
422.545;6.104
422.911;5.762
423.278;5.981
423.645;6.079
424.012;6.055
424.378;5.859
424.745;5.957
425.112;5.908
425.478;6.177
425.845;5.908
426.212;6.079
426.578;6.104
426.945;6.152
427.311;6.055
427.677;6.006
428.044;6.055
428.410;6.055
428.776;5.859
429.143;6.030
429.509;5.811
429.875;5.884
430.241;5.737
430.607;6.030
430.973;6.079
431.339;6.055
431.705;6.006
432.071;6.079
432.437;5.933
432.803;6.079
433.169;6.128
433.535;5.811
433.901;5.981
434.267;6.104
434.632;6.055
434.998;6.030
435.364;6.152
435.729;6.104
436.095;6.104
436.461;6.055
436.826;5.957
437.192;5.981
437.557;6.055
437.922;6.250
438.288;6.104
438.653;5.811
439.018;6.079
439.384;6.201
439.749;6.104
440.114;6.055
440.479;6.177
440.845;5.908
441.210;6.055
441.575;6.055
441.940;6.104
442.305;6.055
442.670;6.104
443.035;6.128
443.400;6.128
443.764;5.957
444.129;5.811
444.494;6.055
444.859;6.055
445.223;5.884
445.588;6.104
445.953;6.201
446.317;6.030
446.682;5.981
447.046;5.981
447.411;6.030
447.775;6.030
448.140;6.128
448.504;6.006
448.869;6.177
449.233;6.128
449.597;6.104
449.961;6.104
450.326;6.128
450.690;5.981
451.054;6.250
451.418;6.055
451.782;6.226
452.146;6.079
452.510;6.152
452.874;6.104
453.238;6.152
453.602;6.250
453.966;5.981
454.330;6.128
454.693;6.128
455.057;6.030
455.421;6.104
455.785;6.152
456.148;6.274
456.512;6.128
456.875;6.104
457.239;6.226
457.602;6.201
457.966;6.104
458.329;6.177
458.693;6.494
459.056;6.152
459.419;6.079
459.783;6.177
460.146;6.250
460.509;6.250
460.872;6.201
461.235;6.201
461.598;6.152
461.961;6.128
462.325;6.128
462.687;6.250
463.050;6.104
463.413;6.299
463.776;6.006
464.139;6.104
464.502;6.299
464.865;6.323
465.227;6.079
465.590;6.250
465.953;6.372
466.315;6.030
466.678;6.006
467.041;6.226
467.403;5.981
467.765;6.030
468.128;6.055
468.490;6.104
468.853;6.104
469.215;6.348
469.577;6.055
469.940;6.177
470.302;6.201
470.664;6.250
471.026;6.226
471.388;6.372
471.750;6.348
472.112;6.250
472.474;6.226
472.836;6.250
473.198;6.372
473.560;6.274
473.922;6.274
474.284;6.079
474.646;6.030
475.007;6.470
475.369;6.421
475.731;6.396
476.092;6.299
476.454;6.323
476.816;6.421
477.177;6.445
477.539;6.226
477.900;6.348
478.261;6.470
478.623;6.372
478.984;6.519
479.345;6.396
479.707;6.421
480.068;6.445
480.429;6.494
480.790;6.396
481.151;6.567
481.512;6.641
481.874;6.592
482.235;6.592
482.595;6.543
482.956;6.372
483.317;6.689
483.678;6.738
484.039;6.689
484.400;6.665
484.761;6.567
485.121;6.519
485.482;6.641
485.843;6.714
486.203;6.445
486.564;6.787
486.924;6.787
487.285;6.860
487.645;6.665
488.006;6.763
488.366;6.689
488.726;6.616
489.087;6.909
489.447;6.836
489.807;6.812
490.167;6.860
490.527;6.909
490.888;6.958
491.248;6.885
491.608;6.738
491.968;7.080
492.328;6.909
492.688;6.860
493.047;6.934
493.407;6.714
493.767;7.056
494.127;7.227
494.487;7.080
494.846;7.129
495.206;6.958
