# == pyFAI calibration ==
# Distance Sample to Detector: 0.158963311583 m
# PONI: 1.062e-01, 8.212e-02 m
# Rotations: -0.004467 -0.004617 0.000000 rad
#
# == Fit2d calibration ==
# Distance Sample-beamCenter: 158.967 mm
# Center: x=481.577, y=613.006 pix
# Tilt: 0.368 deg  TiltPlanRot: -45.941 deg
#
# Detector Pilatus CdTe 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True
#    Detector has a dark current: False
#    detector has a flat field: False
#
# Wavelength: 7.10511159865e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /home/diffmin/imagedata/221007_group1/unknown/unknown_0004.dat
#       2th_deg             I
  7.107765e-02    1.041618e+06
  1.512159e-01    1.031873e+06
  2.313541e-01    7.141177e+05
  3.114923e-01    3.362721e+05
  3.916305e-01    3.424675e+04
  4.717688e-01    3.379566e+04
  5.519070e-01    3.628118e+04
  6.320452e-01    2.218365e+04
  7.121834e-01    1.145654e+04
  7.923216e-01    6.581394e+03
  8.724598e-01    5.880030e+03
  9.525981e-01    4.471239e+03
  1.032736e+00    3.964958e+03
  1.112875e+00    3.576896e+03
  1.193013e+00    3.100606e+03
  1.273151e+00    2.502345e+03
  1.353289e+00    2.051895e+03
  1.433427e+00    2.274700e+03
  1.513566e+00    1.523230e+03
  1.593704e+00    1.109437e+03
  1.673842e+00    1.085841e+03
  1.753980e+00    6.605179e+02
  1.834118e+00    4.434468e+02
  1.914257e+00    4.048349e+02
  1.994395e+00    2.927400e+02
  2.074533e+00    1.854109e+02
  2.154671e+00    1.298000e+02
  2.234810e+00    1.154576e+02
  2.314948e+00    7.368594e+01
  2.395086e+00    6.015245e+01
  2.475224e+00    5.401451e+01
  2.555362e+00    5.172743e+01
  2.635501e+00    4.931403e+01
  2.715639e+00    4.455610e+01
  2.795777e+00    4.154561e+01
  2.875915e+00    3.829330e+01
  2.956054e+00    3.457032e+01
  3.036192e+00    3.299836e+01
  3.116330e+00    3.106223e+01
  3.196468e+00    3.023416e+01
  3.276606e+00    2.834352e+01
  3.356745e+00    2.790176e+01
  3.436883e+00    2.645677e+01
  3.517021e+00    2.426134e+01
  3.597159e+00    2.495114e+01
  3.677298e+00    2.359874e+01
