# == pyFAI calibration ==
# Distance Sample to Detector: 0.158963311583 m
# PONI: 1.062e-01, 8.212e-02 m
# Rotations: -0.004467 -0.004617 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 158.967 mm
# Center: x=481.577, y=613.006 pix
# Tilt: 0.368 deg  TiltPlanRot: -45.941 deg
# 
# Detector Pilatus CdTe 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 7.10511159865e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /home/diffmin/imagedata/221007_group1/unknown/unknown_0006.dat
#       2th_deg             I 
  7.107765e-02    1.041618e+06
  1.512159e-01    9.967193e+05
  2.313541e-01    7.002570e+05
  3.114923e-01    3.370825e+05
  3.916305e-01    3.437752e+04
  4.717688e-01    3.177987e+04
  5.519070e-01    3.423083e+04
  6.320452e-01    1.946278e+04
  7.121834e-01    9.300216e+03
  7.923216e-01    4.747489e+03
  8.724598e-01    3.381346e+03
  9.525981e-01    2.782972e+03
  1.032736e+00    2.759125e+03
  1.112875e+00    2.514830e+03
  1.193013e+00    2.365569e+03
  1.273151e+00    2.070308e+03
  1.353289e+00    1.706833e+03
  1.433427e+00    1.952287e+03
  1.513566e+00    1.262524e+03
  1.593704e+00    8.642436e+02
  1.673842e+00    9.332050e+02
  1.753980e+00    6.226713e+02
  1.834118e+00    4.112045e+02
  1.914257e+00    3.786793e+02
  1.994395e+00    2.768034e+02
  2.074533e+00    1.686271e+02
  2.154671e+00    1.181378e+02
  2.234810e+00    1.016981e+02
  2.314948e+00    6.030201e+01
  2.395086e+00    4.639443e+01
  2.475224e+00    4.190703e+01
  2.555362e+00    3.829308e+01
  2.635501e+00    3.821932e+01
  2.715639e+00    3.538963e+01
  2.795777e+00    3.285840e+01
  2.875915e+00    3.180216e+01
  2.956054e+00    2.801813e+01
  3.036192e+00    2.785626e+01
  3.116330e+00    2.612752e+01
  3.196468e+00    2.423088e+01
  3.276606e+00    2.337496e+01
  3.356745e+00    2.273507e+01
  3.436883e+00    2.184552e+01
  3.517021e+00    2.106590e+01
  3.597159e+00    2.004262e+01
  3.677298e+00    1.999524e+01
  3.757436e+00    1.914469e+01
  3.837574e+00    1.861002e+01
  3.917712e+00    1.733901e+01
  3.997850e+00    1.720624e+01
  4.077989e+00    1.688245e+01
  4.158127e+00    1.641317e+01
  4.238265e+00    1.610019e+01
  4.318403e+00    1.634209e+01
  4.398542e+00    1.572021e+01
  4.478680e+00    1.557419e+01
  4.558818e+00    1.494266e+01
  4.638956e+00    1.480017e+01
  4.719094e+00    1.452031e+01
  4.799233e+00    1.487072e+01
  4.879371e+00    1.447053e+01
  4.959509e+00    1.398603e+01
  5.039647e+00    1.426626e+01
  5.119785e+00    1.400459e+01
  5.199924e+00    1.433998e+01
  5.280062e+00    1.391163e+01
  5.360200e+00    1.406440e+01
  5.440338e+00    1.331547e+01
  5.520477e+00    1.368332e+01
  5.600615e+00    1.381653e+01
  5.680753e+00    1.322007e+01
  5.760891e+00    1.301158e+01
  5.841029e+00    1.264835e+01
  5.921168e+00    1.237185e+01
  6.001306e+00    1.275891e+01
  6.081444e+00    1.254004e+01
  6.161582e+00    1.250840e+01
  6.241721e+00    1.215623e+01
  6.321859e+00    1.217105e+01
  6.401997e+00    1.216074e+01
  6.482135e+00    1.224326e+01
  6.562273e+00    1.218128e+01
  6.642412e+00    1.211480e+01
  6.722550e+00    1.199478e+01
  6.802688e+00    1.204457e+01
  6.882826e+00    1.220016e+01
  6.962965e+00    1.180050e+01
  7.043103e+00    1.162917e+01
  7.123241e+00    1.185847e+01
  7.203379e+00    1.150564e+01
  7.283517e+00    1.158715e+01
  7.363656e+00    1.144785e+01
  7.443794e+00    1.154586e+01
  7.523932e+00    1.145040e+01
  7.604070e+00    1.128483e+01
  7.684208e+00    1.148290e+01
  7.764347e+00    1.139268e+01
  7.844485e+00    1.108842e+01
  7.924623e+00    1.103107e+01
  8.004761e+00    1.111248e+01
  8.084900e+00    1.057200e+01
  8.165038e+00    1.068034e+01
  8.245176e+00    1.058018e+01
  8.325314e+00    1.096980e+01
  8.405452e+00    1.065588e+01
  8.485591e+00    1.056049e+01
  8.565729e+00    1.019258e+01
  8.645867e+00    1.061697e+01
  8.726005e+00    1.011398e+01
  8.806144e+00    1.014183e+01
  8.886282e+00    9.863282e+00
  8.966420e+00    9.880718e+00
  9.046558e+00    9.989993e+00
  9.126696e+00    9.910933e+00
  9.206835e+00    1.014577e+01
  9.286973e+00    9.431899e+00
  9.367111e+00    9.699142e+00
  9.447249e+00    9.918584e+00
  9.527388e+00    9.192816e+00
  9.607526e+00    9.271176e+00
  9.687664e+00    9.274485e+00
  9.767802e+00    9.322878e+00
  9.847940e+00    9.316309e+00
  9.928079e+00    9.357519e+00
  1.000822e+01    9.410085e+00
  1.008836e+01    9.086260e+00
  1.016849e+01    9.385849e+00
  1.024863e+01    9.506978e+00
  1.032877e+01    9.415710e+00
  1.040891e+01    8.912705e+00
  1.048905e+01    9.046823e+00
  1.056918e+01    8.815086e+00
  1.064932e+01    8.836709e+00
  1.072946e+01    8.764101e+00
  1.080960e+01    8.568099e+00
  1.088974e+01    8.522097e+00
  1.096988e+01    8.554058e+00
  1.105001e+01    8.589429e+00
  1.113015e+01    8.320090e+00
  1.121029e+01    7.978449e+00
  1.129043e+01    8.167422e+00
  1.137057e+01    8.264992e+00
  1.145070e+01    8.092305e+00
  1.153084e+01    7.998155e+00
  1.161098e+01    8.027205e+00
  1.169112e+01    8.153612e+00
  1.177126e+01    7.834622e+00
