V(V): 0.0002	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A) 0.0183K
1.200000E-2	-1.000000E+0	-1.214000E-13
1.730000E-1	-9.990000E-1	-1.214000E-13
2.690000E-1	-9.980000E-1	-8.286000E-13
3.680000E-1	-9.970000E-1	1.372000E-13
4.640000E-1	-9.960000E-1	3.483500E-13
5.620000E-1	-9.950000E-1	3.641500E-13
6.610000E-1	-9.940000E-1	2.903000E-13
7.570000E-1	-9.930000E-1	4.539000E-13
8.530000E-1	-9.920000E-1	6.439000E-13
9.500000E-1	-9.910000E-1	4.116500E-13
1.047000E+0	-9.900000E-1	-6.860000E-14
1.144000E+0	-9.890000E-1	3.061000E-13
1.240000E+0	-9.880000E-1	3.114000E-13
1.336000E+0	-9.870000E-1	3.165000E-14
1.435000E+0	-9.860000E-1	1.113600E-12
1.534000E+0	-9.850000E-1	-3.430500E-13
1.631000E+0	-9.840000E-1	-3.536000E-13
1.729000E+0	-9.830000E-1	1.214000E-13
1.827000E+0	-9.820000E-1	1.425000E-13
1.924000E+0	-9.810000E-1	4.539000E-13
2.020000E+0	-9.800000E-1	8.286000E-13
2.116000E+0	-9.790000E-1	2.164000E-13
2.214000E+0	-9.780000E-1	4.697000E-13
2.311000E+0	-9.770000E-1	3.641500E-13
2.409000E+0	-9.760000E-1	-8.445000E-14
2.508000E+0	-9.750000E-1	-3.272000E-13
2.607000E+0	-9.740000E-1	-2.691500E-13
2.705000E+0	-9.730000E-1	5.594500E-13
2.801000E+0	-9.720000E-1	1.900000E-13
2.897000E+0	-9.710000E-1	3.958500E-13
2.994000E+0	-9.700000E-1	1.425000E-13
3.091000E+0	-9.690000E-1	-1.794500E-13
3.188000E+0	-9.680000E-1	2.506950E-12
3.287000E+0	-9.670000E-1	6.365000E-12
3.384000E+0	-9.660000E-1	1.233940E-11
3.482000E+0	-9.650000E-1	1.503635E-11
3.578000E+0	-9.640000E-1	1.583330E-11
3.675000E+0	-9.630000E-1	1.765940E-11
3.774000E+0	-9.620000E-1	1.788635E-11
3.870000E+0	-9.610000E-1	1.819775E-11
3.967000E+0	-9.600000E-1	1.706300E-11
4.064000E+0	-9.590000E-1	1.728995E-11
4.160000E+0	-9.580000E-1	1.402830E-11
4.259000E+0	-9.570000E-1	8.053850E-12
4.357000E+0	-9.560000E-1	2.385550E-12
4.456000E+0	-9.550000E-1	1.303600E-12
4.552000E+0	-9.540000E-1	1.055000E-14
4.651000E+0	-9.530000E-1	-3.905500E-13
4.747000E+0	-9.520000E-1	3.695000E-14
4.846000E+0	-9.510000E-1	3.747000E-13
4.943000E+0	-9.500000E-1	1.741500E-13
5.040000E+0	-9.490000E-1	-3.219500E-13
5.138000E+0	-9.480000E-1	6.386000E-13
5.236000E+0	-9.470000E-1	2.480500E-13
5.334000E+0	-9.460000E-1	6.544500E-13
5.430000E+0	-9.450000E-1	3.219500E-13
5.527000E+0	-9.440000E-1	7.178000E-13
5.624000E+0	-9.430000E-1	7.390000E-14
5.722000E+0	-9.420000E-1	-2.640000E-14
5.820000E+0	-9.410000E-1	2.428000E-13
5.918000E+0	-9.400000E-1	3.061000E-13
6.017000E+0	-9.390000E-1	7.600000E-13
6.115000E+0	-9.380000E-1	7.758500E-13
6.212000E+0	-9.370000E-1	4.380500E-13
6.309000E+0	-9.360000E-1	-2.586000E-13
6.405000E+0	-9.350000E-1	-2.639000E-13
6.504000E+0	-9.340000E-1	7.915000E-14
6.601000E+0	-9.330000E-1	1.055000E-14
6.698000E+0	-9.320000E-1	2.903000E-13
6.794000E+0	-9.310000E-1	5.964000E-13
6.892000E+0	-9.300000E-1	-2.110000E-14
6.991000E+0	-9.290000E-1	-1.583500E-13
7.089000E+0	-9.280000E-1	1.478000E-13
7.186000E+0	-9.270000E-1	-2.533500E-13
7.283000E+0	-9.260000E-1	1.108500E-13
7.381000E+0	-9.250000E-1	-5.699999E-13
7.477000E+0	-9.240000E-1	2.216500E-13
7.575000E+0	-9.230000E-1	1.583500E-13
7.672000E+0	-9.220000E-1	1.324700E-12
7.769000E+0	-9.210000E-1	-4.328000E-13
7.865000E+0	-9.200000E-1	-4.220000E-14
7.961000E+0	-9.190000E-1	2.269500E-13
8.058000E+0	-9.180000E-1	-4.961000E-13
8.155000E+0	-9.170000E-1	6.650000E-13
8.253000E+0	-9.160000E-1	5.280000E-14
8.350000E+0	-9.150000E-1	6.439000E-13
8.446000E+0	-9.140000E-1	7.547000E-13
8.544000E+0	-9.130000E-1	4.961000E-13
8.640000E+0	-9.120000E-1	7.230499E-13
8.736000E+0	-9.110000E-1	6.335000E-14
8.835000E+0	-9.100000E-1	-1.023900E-12
8.933000E+0	-9.090000E-1	1.585000E-14
9.031000E+0	-9.080000E-1	-1.055000E-14
9.130000E+0	-9.070000E-1	9.500000E-14
9.227000E+0	-9.060000E-1	4.539000E-13
9.324000E+0	-9.050000E-1	2.375000E-13
9.421000E+0	-9.040000E-1	1.725850E-12
9.517000E+0	-9.030000E-1	5.689450E-12
9.614000E+0	-9.020000E-1	1.699440E-11
9.711000E+0	-9.010000E-1	2.960825E-11
9.807000E+0	-9.000000E-1	3.904490E-11
