V(V): -0.13	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A) 0.0171K
1.600000E-2	-3.000000E-3	-8.002155E-11
1.900000E-1	-2.990000E-3	-8.021155E-11
2.860000E-1	-2.980000E-3	-8.036990E-11
3.820000E-1	-2.970000E-3	-8.032770E-11
4.780000E-1	-2.960000E-3	-8.032770E-11
5.750000E-1	-2.950000E-3	-7.999520E-11
6.720000E-1	-2.940000E-3	-8.045960E-11
7.690000E-1	-2.930000E-3	-8.063379E-11
8.660000E-1	-2.920000E-3	-8.103489E-11
9.630000E-1	-2.910000E-3	-8.087655E-11
1.062000E+0	-2.900000E-3	-8.095575E-11
1.159000E+0	-2.890000E-3	-8.135685E-11
1.256000E+0	-2.880000E-3	-8.152575E-11
1.353000E+0	-2.870000E-3	-8.169460E-11
1.450000E+0	-2.860000E-3	-8.214850E-11
1.548000E+0	-2.850000E-3	-8.214850E-11
1.645000E+0	-2.840000E-3	-8.204294E-11
1.742000E+0	-2.830000E-3	-8.256545E-11
1.841000E+0	-2.820000E-3	-8.295600E-11
1.939000E+0	-2.810000E-3	-8.280825E-11
2.038000E+0	-2.800000E-3	-8.328325E-11
2.136000E+0	-2.790000E-3	-8.336240E-11
2.232000E+0	-2.780000E-3	-8.346265E-11
2.329000E+0	-2.770000E-3	-8.355239E-11
2.426000E+0	-2.760000E-3	-8.377934E-11
2.523000E+0	-2.750000E-3	-8.363155E-11
2.619000E+0	-2.740000E-3	-8.418569E-11
2.717000E+0	-2.730000E-3	-8.403795E-11
2.816000E+0	-2.720000E-3	-8.427545E-11
2.913000E+0	-2.710000E-3	-8.457630E-11
3.012000E+0	-2.700000E-3	-8.511990E-11
3.109000E+0	-2.690000E-3	-8.533100E-11
3.205000E+0	-2.680000E-3	-8.546295E-11
3.303000E+0	-2.670000E-3	-8.579015E-11
3.399000E+0	-2.660000E-3	-8.630740E-11
3.496000E+0	-2.650000E-3	-8.650265E-11
3.594000E+0	-2.640000E-3	-8.642875E-11
3.690000E+0	-2.630000E-3	-8.709905E-11
3.787000E+0	-2.620000E-3	-8.715710E-11
3.885000E+0	-2.610000E-3	-8.734185E-11
3.982000E+0	-2.600000E-3	-8.834990E-11
4.079000E+0	-2.590000E-3	-8.825490E-11
4.178000E+0	-2.580000E-3	-8.867710E-11
4.276000E+0	-2.570000E-3	-8.878265E-11
4.372000E+0	-2.560000E-3	-8.919430E-11
4.471000E+0	-2.550000E-3	-8.969044E-11
4.568000E+0	-2.540000E-3	-9.023405E-11
4.665000E+0	-2.530000E-3	-9.045570E-11
4.763000E+0	-2.520000E-3	-9.085155E-11
4.860000E+0	-2.510000E-3	-9.126319E-11
4.959000E+0	-2.500000E-3	-9.150070E-11
5.058000E+0	-2.490000E-3	-9.182795E-11
5.154000E+0	-2.480000E-3	-9.250350E-11
5.251000E+0	-2.470000E-3	-9.290459E-11
5.348000E+0	-2.460000E-3	-9.291515E-11
5.446000E+0	-2.450000E-3	-9.336905E-11
5.543000E+0	-2.440000E-3	-9.297850E-11
5.639000E+0	-2.430000E-3	-9.419235E-11
5.735000E+0	-2.420000E-3	-9.445100E-11
5.833000E+0	-2.410000E-3	-9.492600E-11
5.931000E+0	-2.400000E-3	-9.524265E-11
6.029000E+0	-2.390000E-3	-9.556459E-11
6.128000E+0	-2.380000E-3	-9.630344E-11
6.226000E+0	-2.370000E-3	-9.687875E-11
6.324000E+0	-2.360000E-3	-9.672570E-11
6.424000E+0	-2.350000E-3	-9.726930E-11
6.523000E+0	-2.340000E-3	-9.763345E-11
6.621000E+0	-2.330000E-3	-9.772320E-11
6.721000E+0	-2.320000E-3	-9.825625E-11
6.819000E+0	-2.310000E-3	-9.859400E-11
6.918000E+0	-2.300000E-3	-9.872595E-11
7.016000E+0	-2.290000E-3	-9.944900E-11
7.112000E+0	-2.280000E-3	-9.934344E-11
7.208000E+0	-2.270000E-3	-9.957569E-11
7.304000E+0	-2.260000E-3	-1.001720E-10
7.400000E+0	-2.250000E-3	-1.007420E-10
7.496000E+0	-2.240000E-3	-1.008054E-10
