Position Intensity 
4264.007 -0.292 
4267.700 -0.290 
4271.566 -0.288 
4275.443 -0.286 
4279.377 -0.285 
4283.224 -0.284 
4287.087 -0.284 
4290.979 -0.284 
4294.768 -0.285 
4298.604 -0.285 
4302.410 -0.286 
4306.321 -0.288 
4310.279 -0.289 
4314.002 -0.290 
4317.959 -0.291 
4321.998 -0.292 
4325.799 -0.293 
4329.735 -0.293 
4333.603 -0.294 
4175.258 -0.288 
4179.965 -0.287 
4184.786 -0.287 
4190.091 -0.287 
4194.964 -0.285 
4199.641 -0.284 
4204.343 -0.283 
4209.083 -0.283 
4213.747 -0.281 
4218.275 -0.279 
4222.696 -0.278 
4227.041 -0.277 
4231.336 -0.278 
4235.578 -0.278 
4239.797 -0.280 
4243.978 -0.282 
4248.119 -0.284 
4252.260 -0.287 
4256.381 -0.290 
